season,qb,team,metric,metric_name,source_file,sheet
2018,Ben Roethlisberger,PIT,1.1,CPOE,2018.xlsx,Sheet1
2018,Patrick Mahomes,KC,2.0,CPOE,2018.xlsx,Sheet1
2018,Matt Ryan,ATL,4.7,CPOE,2018.xlsx,Sheet1
2018,Jared Goff,LAR,0.6,CPOE,2018.xlsx,Sheet1
2018,Andrew Luck,IND,2.0,CPOE,2018.xlsx,Sheet1
2018,Aaron Rodgers,GB,-0.5,CPOE,2018.xlsx,Sheet1
2018,Tom Brady,NE,-0.9,CPOE,2018.xlsx,Sheet1
2018,Philip Rivers,LAC,2.9,CPOE,2018.xlsx,Sheet1
2018,Eli Manning,NYG,-1.1,CPOE,2018.xlsx,Sheet1
2018,Kirk Cousins,MIN,4.5,CPOE,2018.xlsx,Sheet1
2018,Deshaun Watson,HOU,3.4,CPOE,2018.xlsx,Sheet1
2018,Derek Carr,LV,1.1,CPOE,2018.xlsx,Sheet1
2018,Drew Brees,NO,6.8,CPOE,2018.xlsx,Sheet1
2018,Case Keenum,DEN,-1.4,CPOE,2018.xlsx,Sheet1
2018,Dak Prescott,DAL,2.1,CPOE,2018.xlsx,Sheet1
2018,Matthew Stafford,DET,1.3,CPOE,2018.xlsx,Sheet1
2018,Baker Mayfield,CLE,0.4,CPOE,2018.xlsx,Sheet1
2018,Russell Wilson,SEA,3.4,CPOE,2018.xlsx,Sheet1
2018,Cam Newton,CAR,2.5,CPOE,2018.xlsx,Sheet1
2018,Mitchell Trubisky,CHI,0.9,CPOE,2018.xlsx,Sheet1
2018,Carson Wentz,PHI,4.1,CPOE,2018.xlsx,Sheet1
2018,Jameis Winston,TB,1.9,CPOE,2018.xlsx,Sheet1
2018,Sam Darnold,NYJ,-2.6,CPOE,2018.xlsx,Sheet1
2018,Blake Bortles,JAX,-5.7,CPOE,2018.xlsx,Sheet1
2018,Andy Dalton,CIN,-0.4,CPOE,2018.xlsx,Sheet1
2018,Marcus Mariota,TEN,0.7,CPOE,2018.xlsx,Sheet1
2018,Joe Flacco,BAL,-2.5,CPOE,2018.xlsx,Sheet1
2018,Ryan Fitzpatrick,TB,3.9,CPOE,2018.xlsx,Sheet1
2018,Josh Rosen,ARI,-1.9,CPOE,2018.xlsx,Sheet1
2018,Nick Mullens,SF,0.0,CPOE,2018.xlsx,Sheet1
2018,Alex Smith,WAS,-0.3,CPOE,2018.xlsx,Sheet1
2018,Josh Allen,BUF,-8.7,CPOE,2018.xlsx,Sheet1
2018,Ryan Tannehill,MIA,-1.0,CPOE,2018.xlsx,Sheet1
2018,Nick Foles,PHI,6.4,CPOE,2018.xlsx,Sheet1
2018,C.J. Beathard,SF,-7.2,CPOE,2018.xlsx,Sheet1
2018,Brock Osweiler,MIA,0.3,CPOE,2018.xlsx,Sheet1
2018,Lamar Jackson,BAL,-5.6,CPOE,2018.xlsx,Sheet1
2018,Jeff Driskel,CIN,-2.4,CPOE,2018.xlsx,Sheet1
2018,Cody Kessler,JAX,-0.9,CPOE,2018.xlsx,Sheet1
2019,Jameis Winston,TB,0.6,CPOE,2019.xlsx,Sheet1
2019,Dak Prescott,DAL,2.7,CPOE,2019.xlsx,Sheet1
2019,Jared Goff,LAR,-2.3,CPOE,2019.xlsx,Sheet1
2019,Philip Rivers,LAC,4.0,CPOE,2019.xlsx,Sheet1
2019,Matt Ryan,ATL,2.6,CPOE,2019.xlsx,Sheet1
2019,Russell Wilson,SEA,4.2,CPOE,2019.xlsx,Sheet1
2019,Tom Brady,NE,-2.4,CPOE,2019.xlsx,Sheet1
2019,Derek Carr,LV,2.4,CPOE,2019.xlsx,Sheet1
2019,Carson Wentz,PHI,-0.3,CPOE,2019.xlsx,Sheet1
2019,Patrick Mahomes,KC,0.7,CPOE,2019.xlsx,Sheet1
2019,Aaron Rodgers,GB,-2.3,CPOE,2019.xlsx,Sheet1
2019,Jimmy Garoppolo,SF,2.8,CPOE,2019.xlsx,Sheet1
2019,Deshaun Watson,HOU,0.9,CPOE,2019.xlsx,Sheet1
2019,Baker Mayfield,CLE,-2.1,CPOE,2019.xlsx,Sheet1
2019,Kyler Murray,ARI,-3.0,CPOE,2019.xlsx,Sheet1
2019,Kirk Cousins,MIN,6.4,CPOE,2019.xlsx,Sheet1
2019,Ryan Fitzpatrick,MIA,-0.1,CPOE,2019.xlsx,Sheet1
2019,Andy Dalton,CIN,-1.8,CPOE,2019.xlsx,Sheet1
2019,Kyle Allen,CAR,-0.7,CPOE,2019.xlsx,Sheet1
2019,Gardner Minshew,JAX,-4.2,CPOE,2019.xlsx,Sheet1
2019,Mitchell Trubisky,CHI,-0.3,CPOE,2019.xlsx,Sheet1
2019,Lamar Jackson,BAL,0.1,CPOE,2019.xlsx,Sheet1
2019,Josh Allen,BUF,-4.1,CPOE,2019.xlsx,Sheet1
2019,Daniel Jones,NYG,0.4,CPOE,2019.xlsx,Sheet1
