season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2006,ARI,00-0024225,M.Leinart,10,5,True
2006,ATL,00-0020245,M.Vick,15,1,True
2006,BAL,00-0011024,S.McNair,15,1,True
2006,BUF,00-0022912,J.Losman,16,1,True
2006,CAR,00-0004161,J.Delhomme,13,1,True
2006,CHI,00-0022121,R.Grossman,18,1,True
2006,CIN,00-0021429,C.Palmer,16,1,True
2006,CLE,00-0023502,C.Frye,12,1,True
2006,DAL,00-0021678,T.Romo,12,7,True
2006,DEN,00-0013042,J.Plummer,11,1,True
2006,DET,00-0009311,J.Kitna,16,1,True
2006,GB,00-0005106,B.Favre,16,1,True
2006,HOU,00-0020608,D.Carr,15,1,True
2006,IND,00-0010346,P.Manning,20,1,True
2006,JAX,00-0021231,D.Garrard,9,8,True
2006,KC,00-0007835,D.Huard,9,1,True
2006,LA,00-0019599,M.Bulger,16,1,True
2006,LAC,00-0022942,P.Rivers,17,1,True
2006,LV,00-0023504,A.Walter,9,2,True
2006,MIA,00-0021141,J.Harrington,10,5,True
2006,MIN,00-0008442,B.Johnson,13,1,True
2006,NE,00-0019596,T.Brady,19,1,True
2006,NO,00-0020531,D.Brees,17,1,True
2006,NYG,00-0022803,E.Manning,17,1,True
2006,NYJ,00-0019559,C.Pennington,17,1,True
2006,PHI,00-0011022,D.McNabb,9,1,True
2006,PIT,00-0022924,B.Roethlisberger,15,2,True
2006,SEA,00-0007091,M.Hasselbeck,13,1,True
2006,SF,00-0023436,A.Smith,16,1,True
2006,TB,00-0024408,B.Gradkowski,10,5,True
2006,TEN,00-0024218,V.Young,14,2,True
2006,WAS,00-0002110,M.Brunell,9,1,True
2007,ARI,00-0017200,K.Warner,12,4,True
2007,ATL,00-0021141,J.Harrington,10,1,True
2007,BAL,00-0022164,K.Boller,8,2,True
2007,BUF,00-0025479,T.Edwards,10,3,True
2007,CAR,00-0020608,D.Carr,5,4,True
2007,CHI,00-0022121,R.Grossman,7,1,True
2007,CIN,00-0021429,C.Palmer,16,1,True
2007,CLE,00-0023645,D.Anderson,16,1,True
2007,DAL,00-0021678,T.Romo,17,1,True
2007,DEN,00-0024226,J.Cutler,15,1,True
2007,DET,00-0009311,J.Kitna,16,1,True
2007,GB,00-0005106,B.Favre,16,1,True
2007,HOU,00-0022787,M.Schaub,8,1,True
2007,IND,00-0010346,P.Manning,16,1,True
2007,JAX,00-0021231,D.Garrard,13,1,True
2007,KC,00-0007835,D.Huard,10,1,True
2007,LA,00-0019599,M.Bulger,11,1,True
2007,LAC,00-0022942,P.Rivers,19,1,True
2007,LV,00-0021206,J.McCown,8,1,True
2007,MIA,00-0020565,C.Lemon,9,5,True
2007,MIN,00-0024279,T.Jackson,12,1,True
2007,NE,00-0019596,T.Brady,19,1,True
2007,NO,00-0020531,D.Brees,16,1,True
2007,NYG,00-0022803,E.Manning,20,1,True
2007,NYJ,00-0019559,C.Pennington,9,1,True
2007,PHI,00-0011022,D.McNabb,13,1,True
2007,PIT,00-0022924,B.Roethlisberger,16,1,True
2007,SEA,00-0007091,M.Hasselbeck,18,1,True
