season,posteam,qb_id,qb_name,plays,games,raw_pass_rate,expected_pass_rate,proe
2006,ARI,00-0024225,M.Leinart,610,10,0.6032786885245902,0.6152949108513164,-1.201622232672621
2006,ATL,00-0020245,M.Vick,898,15,0.5066815144766147,0.6165399967188758,-10.985848224226112
2006,BAL,00-0011024,S.McNair,897,15,0.5674470457079153,0.5802780673647073,-1.2831021656792034
2006,BUF,00-0022912,J.Losman,879,16,0.5494880546075085,0.5852430035276455,-3.5754948920136966
2006,CAR,00-0004161,J.Delhomme,763,13,0.5858453473132372,0.5909809366132219,-0.5135589299984715
2006,CHI,00-0022121,R.Grossman,1097,18,0.5278030993618961,0.5721816427414811,-4.437854337958498
2006,CIN,00-0021429,C.Palmer,963,16,0.5784008307372793,0.5871918964144597,-0.8791065677180344
2006,CLE,00-0023502,C.Frye,699,12,0.6151645207439199,0.6235420722647628,-0.8377551520842851
2006,DAL,00-0021678,T.Romo,679,12,0.5861561119293078,0.596742706801276,-1.0586594871968162
2006,DEN,00-0013042,J.Plummer,636,11,0.529874213836478,0.5763421868202541,-4.646797298377602
2006,DET,00-0009311,J.Kitna,940,16,0.701063829787234,0.6255489491599988,7.55148806272352
2006,GB,00-0005106,B.Favre,1027,16,0.6085686465433301,0.5882934949795163,2.0275151563813765
2006,HOU,00-0020608,D.Carr,827,15,0.5707376058041113,0.591485967629892,-2.0748361825780828
2006,IND,00-0010346,P.Manning,1275,20,0.5670588235294117,0.5717634287797937,-0.4704605250381956
2006,JAX,00-0021231,D.Garrard,530,9,0.49433962264150944,0.5851990643976572,-9.085944175614783
2006,KC,00-0007835,D.Huard,497,9,0.5090543259557344,0.6173992149899123,-10.834488903417794
2006,LA,00-0019599,M.Bulger,1026,16,0.6042884990253411,0.5939466758044781,1.034182322086298
2006,LAC,00-0022942,P.Rivers,1035,17,0.5024154589371981,0.5514601969488577,-4.904473801165963
2006,LV,00-0023504,A.Walter,493,9,0.5882352941176471,0.629783913546051,-4.154861942840396
2006,MIA,00-0021141,J.Harrington,629,10,0.604133545310016,0.6062836878368889,-0.21501425268729654
2006,MIN,00-0008442,B.Johnson,793,13,0.5649432534678437,0.6106387051421336,-4.569545167428999
2006,NE,00-0019596,T.Brady,1171,19,0.5738684884713919,0.5693826991651146,0.44857893062772963
2006,NO,00-0020531,D.Brees,1105,17,0.5900452488687783,0.5833602870835572,0.6684961785220992
2006,NYG,00-0022803,E.Manning,1021,17,0.5563173359451518,0.5903553589996057,-3.4038023054453816
2006,NYJ,00-0019559,C.Pennington,1029,17,0.5461613216715258,0.5751427485796725,-2.8981426908146766
2006,PHI,00-0011022,D.McNabb,535,9,0.6299065420560748,0.5754288811114765,5.44776609445983
2006,PIT,00-0022924,B.Roethlisberger,900,15,0.5744444444444444,0.6167556832192672,-4.231123877482282
2006,SEA,00-0007091,M.Hasselbeck,854,13,0.5304449648711944,0.5878217992889727,-5.737683441777838
2006,SF,00-0023436,A.Smith,885,16,0.5446327683615819,0.5935810822614673,-4.894831389988546
2006,TB,00-0024408,B.Gradkowski,582,10,0.6065292096219931,0.6338381742949748,-2.730896467298167
2006,TEN,00-0024218,V.Young,768,14,0.5377604166666666,0.6337621695371732,-9.60017528705066
2006,WAS,00-0002110,M.Brunell,514,9,0.5233463035019456,0.6172831827042632,-9.393687920231763
2007,ARI,00-0017200,K.Warner,686,12,0.6297376093294461,0.6198879395592578,0.9849669770188304
2007,ATL,00-0021141,J.Harrington,571,10,0.6024518388791593,0.6220167066621384,-1.9564867782979003
2007,BAL,00-0022164,K.Boller,483,8,0.556935817805383,0.6188061137068592,-6.187029590147622
2007,BUF,00-0025479,T.Edwards,549,10,0.5191256830601093,0.5837672119298594,-6.464152886975007
2007,CAR,00-0020608,D.Carr,234,5,0.6495726495726496,0.7173928256727692,-6.782017610011956
2007,CHI,00-0022121,R.Grossman,400,7,0.605,0.6291214459110052,-2.412144591100514
2007,CIN,00-0021429,C.Palmer,973,16,0.5981500513874615,0.59375928662993,0.43907647575313974
2007,CLE,00-0023645,D.Anderson,934,16,0.5728051391862955,0.5864329846571867,-1.3627845470891264
2007,DAL,00-0021678,T.Romo,992,17,0.592741935483871,0.5670161542478919,2.572578123597909
2007,DEN,00-0024226,J.Cutler,869,15,0.5604142692750288,0.5978727050348516,-3.745843575982285
2007,DET,00-0009311,J.Kitna,901,16,0.6770255271920089,0.6133720624972793,6.365346469472966
2007,GB,00-0005106,B.Favre,928,16,0.6217672413793104,0.5709675729680196,5.079966841129072
2007,HOU,00-0022787,M.Schaub,458,8,0.5895196506550219,0.6025376206947141,-1.3017970039692248
2007,IND,00-0010346,P.Manning,970,16,0.5793814432989691,0.551212444815055,2.8168998483914076
2007,JAX,00-0021231,D.Garrard,756,13,0.5357142857142857,0.5491330665930435,-1.3418780878757832
2007,KC,00-0007835,D.Huard,572,10,0.6083916083916084,0.6150951224796057,-0.6703514087997324
2007,LA,00-0019599,M.Bulger,652,11,0.6180981595092024,0.6247016482935087,-0.6603488784306254
2007,LAC,00-0022942,P.Rivers,1063,19,0.5362182502351834,0.5877931947282823,-5.157494449309886
2007,LV,00-0021206,J.McCown,414,8,0.48792270531400966,0.6050466677164974,-11.712396240248772
2007,MIA,00-0020565,C.Lemon,545,9,0.618348623853211,0.6337866695375618,-1.543804568435074
2007,MIN,00-0024279,T.Jackson,655,12,0.5053435114503817,0.5865952415150085,-8.125173006462687
2007,NE,00-0019596,T.Brady,1195,19,0.6041841004184101,0.5230850516876915,8.109904873071853
2007,NO,00-0020531,D.Brees,1029,16,0.6433430515063168,0.5988215042442895,4.452154726202738
2007,NYG,00-0022803,E.Manning,1232,20,0.5560064935064936,0.5797293567531077,-2.3722863246614185
2007,NYJ,00-0019559,C.Pennington,493,9,0.5821501014198783,0.6205971511137534,-3.844704969387509
2007,PHI,00-0011022,D.McNabb,812,13,0.6391625615763546,0.5831948704788177,5.5967691097537
2007,PIT,00-0022924,B.Roethlisberger,972,16,0.5277777777777778,0.5868903043154826,-5.911252653770486
2007,SEA,00-0007091,M.Hasselbeck,1074,18,0.6210428305400373,0.5695588767183407,5.148395382169655
2007,SF,00-0023436,A.Smith,333,6,0.6396396396396397,0.6632694048029525,-2.36297651633128
2007,TB,00-0005755,J.Garcia,676,12,0.5414201183431953,0.5835170958317905,-4.209697748859518
2007,TEN,00-0024218,V.Young,870,15,0.5333333333333333,0.5798306874352797,-4.64973541019463
2007,WAS,00-0023460,J.Campbell,776,12,0.5579896907216495,0.5981549362930441,-4.016524557139456
2008,ARI,00-0017200,K.Warner,1158,20,0.6459412780656304,0.5825247439863047,6.341653407932563
2008,ATL,00-0026143,M.Ryan,1037,17,0.4831243972999036,0.5724334476269574,-8.930905032705375
2008,BAL,00-0026158,J.Flacco,1170,19,0.46923076923076923,0.5743011142373976,-10.507034500662842
2008,BUF,00-0025479,T.Edwards,736,13,0.5489130434782609,0.6026656078073479,-5.375256432908708
2008,CAR,00-0004161,J.Delhomme,961,17,0.4838709677419355,0.5805290888018061,-9.665812105987062
2008,CHI,00-0023541,K.Orton,834,14,0.5731414868105515,0.5688073661075614,0.43341207029900963
2008,CIN,00-0023682,R.Fitzpatrick,703,12,0.6244665718349929,0.6070725927354601,1.7393979099532788
2008,CLE,00-0023645,D.Anderson,509,9,0.5677799607072691,0.5965874441817022,-2.880748347443307
2008,DAL,00-0021678,T.Romo,772,13,0.6113989637305699,0.5825976517939352,2.880131193663481
2008,DEN,00-0024226,J.Cutler,975,16,0.6523076923076923,0.5941913983435967,5.81162939640956
2008,DET,00-0023578,D.Orlovsky,412,8,0.6262135922330098,0.6337187242269227,-0.7505131993912956
2008,GB,00-0023459,A.Rodgers,979,16,0.5914198161389173,0.5837719812760923,0.7647834862824967
2008,HOU,00-0022787,M.Schaub,641,10,0.5990639625585024,0.5998381948426901,-0.07742322841877126
2008,IND,00-0010346,P.Manning,950,16,0.631578947368421,0.5957120267968429,3.586692057157818
2008,JAX,00-0021231,D.Garrard,971,16,0.6168898043254377,0.6278668772525141,-1.0977072927076466
2008,KC,00-0025604,T.Thigpen,676,12,0.6523668639053254,0.5993632197644584,5.300364414086709
2008,LA,00-0019599,M.Bulger,820,14,0.5829268292682926,0.6276178984630217,-4.4691069194729005
2008,LAC,00-0022942,P.Rivers,1029,18,0.565597667638484,0.5915895578667768,-2.59918902282928
2008,LV,00-0025388,J.Russell,776,14,0.5,0.5923806378022605,-9.238063780226044
2008,MIA,00-0019559,C.Pennington,973,17,0.5611510791366906,0.5634128245173782,-0.22617453806875665
2008,MIN,00-0005589,G.Frerotte,642,11,0.5155763239875389,0.6103422356148561,-9.476591162731715
2008,NE,00-0023662,M.Cassel,1016,16,0.577755905511811,0.5621776888476993,1.5578216664111755
2008,NO,00-0020531,D.Brees,1011,16,0.6300692383778437,0.5784899462788236,5.157929209902013
2008,NYG,00-0022803,E.Manning,1019,17,0.5220804710500491,0.5650376247203707,-4.295715367032162
2008,NYJ,00-0005106,B.Favre,950,16,0.5778947368421052,0.5624319881240004,1.5462748718104864
2008,PHI,00-0011022,D.McNabb,1120,18,0.63125,0.577650044690485,5.359995530951502
2008,PIT,00-0022924,B.Roethlisberger,1081,19,0.5679925994449584,0.5836367775667993,-1.5644178121840921
2008,SEA,00-0022055,S.Wallace,445,8,0.5707865168539326,0.6008400014905112,-3.005348463657867
2008,SF,00-0020679,S.Hill,513,9,0.6101364522417154,0.6013372016936308,0.8799250548084577
2008,TB,00-0005755,J.Garcia,677,11,0.5893648449039882,0.603422839081732,-1.4057994177743816
2008,TEN,00-0003292,K.Collins,917,15,0.5038167938931297,0.5562342000595063,-5.241740616637657
2008,WAS,00-0023460,J.Campbell,997,16,0.5667001003009027,0.6111486973885518,-4.444859708764907
