season,posteam,qb_id,qb_name,attempts,games,expected_pass_rate_on_attempts,proe_on_attempts
2014,ARI,00-0025430,D.Stanton,244,8,0.7015000661743469,29.849993382565312
2014,ATL,00-0026143,M.Ryan,645,16,0.730962413942167,26.9037586057833
2014,BAL,00-0026158,J.Flacco,633,18,0.7170328242942621,28.296717570573797
2014,BUF,00-0023541,K.Orton,472,12,0.7170607795528436,28.29392204471564
2014,CAR,00-0027939,C.Newton,550,16,0.7048946242711761,29.51053757288239
2014,CHI,00-0024226,J.Cutler,590,15,0.7142865349933253,28.571346500667474
2014,CIN,00-0027973,A.Dalton,532,17,0.7225030602929288,27.749693970707128
2014,CLE,00-0026625,B.Hoyer,455,14,0.7376227159421522,26.237728405784775
2014,DAL,00-0021678,T.Romo,513,17,0.726377605578588,27.3622394421412
2014,DEN,00-0010346,P.Manning,648,17,0.6950751868030631,30.492481319693688
2014,DET,00-0026498,M.Stafford,680,17,0.7256771414157223,27.432285858427775
2014,GB,00-0023459,A.Rodgers,608,18,0.669834097271393,33.0165902728607
2014,HOU,00-0023682,R.Fitzpatrick,321,11,0.7262241265901895,27.377587340981048
2014,IND,00-0029668,A.Luck,719,17,0.6613572715692253,33.864272843077465
2014,JAX,00-0031407,B.Bortles,521,14,0.7472013007284584,25.279869927154163
2014,KC,00-0023436,A.Smith,501,15,0.6971920623839972,30.28079376160028
2014,LA,00-0028957,A.Davis,309,9,0.7487710935687556,25.122890643124443
2014,LAC,00-0022942,P.Rivers,600,16,0.7417737929026286,25.82262070973714
2014,LV,00-0031280,D.Carr,610,16,0.7415602634431886,25.84397365568114
2014,MIA,00-0029701,R.Tannehill,627,16,0.6862776797306405,31.372232026935954
2014,MIN,00-0031237,T.Bridgewater,432,13,0.7365441866977899,26.34558133022101
2014,NE,00-0019596,T.Brady,716,18,0.6436108415061869,35.63891584938132
2014,NO,00-0020531,D.Brees,678,16,0.7272025594559215,27.27974405440785
2014,NYG,00-0022803,E.Manning,615,16,0.716130353910167,28.386964608983295
2014,NYJ,00-0030565,G.Smith,354,11,0.7466097655521948,25.339023444780523
2014,PHI,00-0026898,M.Sanchez,325,9,0.6951341334673075,30.486586653269253
2014,PIT,00-0022924,B.Roethlisberger,670,17,0.7031178739227688,29.68821260772312
2014,SEA,00-0029263,R.Wilson,562,19,0.7151167108859615,28.48832891140385
2014,SF,00-0027974,C.Kaepernick,525,16,0.7200373434168952,27.99626565831048
2014,TB,00-0021206,J.McCown,336,10,0.7713246035079161,22.867539649208386
2014,TEN,00-0024296,C.Whitehurst,198,7,0.7549961623218324,24.500383767816757
2014,WAS,00-0029665,R.Griffin,230,7,0.7511068331806556,24.88931668193444
2015,ARI,00-0021429,C.Palmer,633,18,0.6865725253736615,31.34274746263385
2015,ATL,00-0026143,M.Ryan,637,16,0.719158798619941,28.084120138005897
2015,BAL,00-0026158,J.Flacco,420,10,0.7194308808871678,28.05691191128322
2015,BUF,00-0028118,T.Taylor,410,14,0.7537343433353959,24.626565666460408
2015,CAR,00-0027939,C.Newton,617,19,0.6779544159069634,32.204558409303665
2015,CHI,00-0024226,J.Cutler,491,14,0.7344620357098745,26.553796429012554
2015,CIN,00-0027973,A.Dalton,395,12,0.6728954096383686,32.71045903616314
2015,CLE,00-0031409,J.Manziel,227,7,0.7365709650884116,26.342903491158843
2015,DAL,00-0023662,M.Cassel,188,6,0.7578371059387288,24.216289406127117
2015,DEN,00-0010346,P.Manning,412,11,0.6990095971929795,30.099040280702045
2015,DET,00-0026498,M.Stafford,597,15,0.7049378359587348,29.506216404126516
2015,GB,00-0023459,A.Rodgers,690,18,0.7064423950146074,29.35576049853926
2015,HOU,00-0026625,B.Hoyer,423,12,0.7351178193980075,26.48821806019925
2015,IND,00-0007091,M.Hasselbeck,266,8,0.665042930639776,33.495706936022394
2015,JAX,00-0031407,B.Bortles,647,16,0.7319105367019335,26.808946329806652
2015,KC,00-0023436,A.Smith,579,18,0.68883282414578,31.11671758542201
2015,LA,00-0029567,N.Foles,341,11,0.8007751439323872,19.922485606761274
2015,LAC,00-0022942,P.Rivers,686,16,0.7204659153916397,27.95340846083602
2015,LV,00-0031280,D.Carr,580,15,0.7080412237359018,29.195877626409818
2015,MIA,00-0029701,R.Tannehill,622,16,0.7389670822206418,26.103291777935826
2015,MIN,00-0031237,T.Bridgewater,513,17,0.7536120106253708,24.638798937462923
2015,NE,00-0019596,T.Brady,750,18,0.6545519386629264,34.54480613370736
2015,NO,00-0020531,D.Brees,651,15,0.7192821344518076,28.071786554819244
2015,NYG,00-0022803,E.Manning,633,16,0.7016387062285561,29.836129377144395
2015,NYJ,00-0023682,R.Fitzpatrick,573,15,0.7271081205802022,27.28918794197978
2015,PHI,00-0027854,S.Bradford,549,14,0.6924868381577112,30.751316184228887
2015,PIT,00-0022924,B.Roethlisberger,555,14,0.6736329288767264,32.63670711232735
2015,SEA,00-0029263,R.Wilson,597,18,0.7011297380230335,29.88702619769665
2015,SF,00-0027974,C.Kaepernick,268,8,0.7092459780622774,29.07540219377226
2015,TB,00-0031503,J.Winston,547,16,0.7639402933759271,23.60597066240729
2015,TEN,00-0032268,M.Mariota,392,11,0.746532350398448,25.346764960155195
2015,WAS,00-0029604,K.Cousins,614,17,0.7188514246565899,28.114857534341006
2016,ARI,00-0021429,C.Palmer,628,15,0.7442976453691531,25.57023546308469
2016,ATL,00-0026143,M.Ryan,667,19,0.6619114358832633,33.80885641167367
2016,BAL,00-0026158,J.Flacco,690,16,0.725285793862481,27.471420613751896
2016,BUF,00-0028118,T.Taylor,469,15,0.7149836990370679,28.50163009629321
2016,CAR,00-0027939,C.Newton,533,15,0.7219250894118429,27.80749105881571
2016,CHI,00-0030533,M.Barkley,221,7,0.774920845395839,22.507915460416093
2016,CIN,00-0027973,A.Dalton,595,16,0.7307591825097549,26.924081749024513
2016,CLE,00-0029665,R.Griffin,165,5,0.6947804205345385,30.52195794654615
2016,DAL,00-0033077,D.Prescott,504,16,0.7003948385162013,29.96051614837987
2016,DEN,00-0032156,T.Siemian,498,13,0.7248772720854924,27.512272791450762
2016,DET,00-0026498,M.Stafford,653,17,0.7228044390587127,27.719556094128723
2016,GB,00-0023459,A.Rodgers,769,19,0.670457290860937,32.954270913906306
2016,HOU,00-0029682,B.Osweiler,583,16,0.7210232852918206,27.89767147081794
2016,IND,00-0029668,A.Luck,579,15,0.6975513749429393,30.24486250570607
2016,JAX,00-0031407,B.Bortles,651,16,0.7362646337615729,26.373536623842707
2016,KC,00-0023436,A.Smith,528,15,0.709664980909138,29.033501909086198
2016,LA,00-0028986,C.Keenum,332,9,0.7336560466203345,26.634395337966552
2016,LAC,00-0022942,P.Rivers,602,16,0.7104471695433028,28.955283045669727
2016,LV,00-0031280,D.Carr,561,15,0.6980511307344505,30.194886926554954
2016,MIA,00-0029701,R.Tannehill,402,13,0.7325116825192722,26.74883174807278
2016,MIN,00-0027854,S.Bradford,577,15,0.7249822140101544,27.501778598984565
2016,NE,00-0019596,T.Brady,585,15,0.6707644014022289,32.92355985977711
2016,NO,00-0020531,D.Brees,684,16,0.7054758761513825,29.45241238486174
2016,NYG,00-0022803,E.Manning,654,17,0.7173383970508517,28.26616029491483
2016,NYJ,00-0023682,R.Fitzpatrick,394,12,0.7092891304852998,29.07108695147001
2016,PHI,00-0032950,C.Wentz,633,16,0.7275686042286208,27.243139577137914
2016,PIT,00-0022924,B.Roethlisberger,614,17,0.6897040451133581,31.02959548866419
2016,SEA,00-0029263,R.Wilson,644,18,0.7009305227547884,29.90694772452116
2016,SF,00-0027974,C.Kaepernick,363,11,0.7396943122148514,26.030568778514862
2016,TB,00-0031503,J.Winston,592,16,0.7276444896753576,27.235551032464247
2016,TEN,00-0032268,M.Mariota,460,15,0.747069722543592,25.293027745640796
2016,WAS,00-0029604,K.Cousins,618,16,0.7034044233437109,29.65955766562891
2017,ARI,00-0021429,C.Palmer,285,7,0.739051850427661,26.094814957233897
2017,ATL,00-0026143,M.Ryan,616,18,0.716602741123794,28.339725887620602
2017,BAL,00-0026158,J.Flacco,566,16,0.7303089081464408,26.969109185355922
2017,BUF,00-0028118,T.Taylor,496,16,0.7235063456539665,27.649365434603347
2017,CAR,00-0027939,C.Newton,563,17,0.7216403128622269,27.835968713777316
2017,CHI,00-0033869,M.Trubisky,353,12,0.7809097430650304,21.909025693496968
2017,CIN,00-0027973,A.Dalton,524,16,0.7111268031005641,28.887319689943592
2017,CLE,00-0033899,D.Kizer,506,15,0.7743765770093255,22.562342299067456
2017,DAL,00-0033077,D.Prescott,516,16,0.7452509205990522,25.474907940094784
2017,DEN,00-0032156,T.Siemian,369,10,0.7480324671924276,25.196753280757243
2017,DET,00-0026498,M.Stafford,604,16,0.7280237729235596,27.197622707644047
2017,GB,00-0031589,B.Hundley,334,10,0.7229856523032674,27.701434769673263
2017,HOU,00-0033537,D.Watson,217,7,0.7020532062388785,29.79467937611215
2017,IND,00-0033119,J.Brissett,507,15,0.7476434688537549,25.23565311462451
2017,JAX,00-0031407,B.Bortles,625,19,0.7225013064146042,27.74986935853958
2017,KC,00-0023436,A.Smith,569,16,0.7112709689486005,28.87290310513994
2017,LA,00-0033106,J.Goff,542,16,0.6895238399450629,31.047616005493705
2017,LAC,00-0022942,P.Rivers,576,16,0.7189875879945854,28.101241200541455
2017,LV,00-0031280,D.Carr,523,15,0.7397329447431272,26.026705525687273
2017,MIA,00-0024226,J.Cutler,405,11,0.7246333042412628,27.536669575873717
2017,MIN,00-0028986,C.Keenum,585,17,0.7087712083871548,29.12287916128452
2017,NE,00-0019596,T.Brady,749,19,0.6704221476660233,32.957785233397665
2017,NO,00-0020531,D.Brees,621,18,0.7019218266634165,29.807817333658345
2017,NYG,00-0022803,E.Manning,591,15,0.7235576844760004,27.644231552399958
2017,NYJ,00-0021206,J.McCown,423,13,0.728735045197444,27.126495480255596
2017,PHI,00-0032950,C.Wentz,463,13,0.6802479403644607,31.97520596355393
2017,PIT,00-0022924,B.Roethlisberger,627,16,0.7002277664210428,29.977223357895724
2017,SEA,00-0029263,R.Wilson,576,16,0.7073600106976099,29.263998930239016
2017,SF,00-0033936,C.Beathard,240,6,0.78733465919892,21.266534080108006
2017,TB,00-0031503,J.Winston,440,11,0.7234030392359604,27.659696076403964
2017,TEN,00-0032268,M.Mariota,540,16,0.7272498575625597,27.27501424374404
2017,WAS,00-0029604,K.Cousins,573,16,0.7281351350572929,27.18648649427071
2018,ARI,00-0034343,J.Rosen,424,13,0.7597193507091055,24.028064929089457
2018,ATL,00-0026143,M.Ryan,640,16,0.7053849563468247,29.461504365317523
2018,BAL,00-0026158,J.Flacco,391,9,0.7141175268937254,28.58824731062745
2018,BUF,00-0034857,J.Allen,315,11,0.7333298736621463,26.66701263378537
2018,CAR,00-0027939,C.Newton,490,14,0.7029829596682471,29.701704033175293
2018,CHI,00-0033869,M.Trubisky,495,15,0.671725019481447,32.8274980518553
2018,CIN,00-0027973,A.Dalton,363,10,0.7052713729256441,29.472862707435592
2018,CLE,00-0034855,B.Mayfield,502,14,0.713199792422384,28.68002075776161
2018,DAL,00-0033077,D.Prescott,642,18,0.7337307638932611,26.626923610673888
2018,DEN,00-0028986,C.Keenum,604,16,0.7380243757900024,26.197562420999766
2018,DET,00-0026498,M.Stafford,586,16,0.7431533778079947,25.684662219200526
2018,GB,00-0023459,A.Rodgers,630,15,0.7033168839083778,29.668311609162224
2018,HOU,00-0033537,D.Watson,610,17,0.7300908447166935,26.990915528330646
2018,IND,00-0029668,A.Luck,715,18,0.7094024480222823,29.05975519777178
2018,JAX,00-0031407,B.Bortles,407,11,0.7259133919268042,27.40866080731959
2018,KC,00-0033873,P.Mahomes,665,18,0.6529647453723098,34.70352546276903
2018,LA,00-0033106,J.Goff,693,19,0.6896622952229705,31.03377047770295
2018,LAC,00-0022942,P.Rivers,617,18,0.7099698844216341,29.003011557836587
2018,LV,00-0031280,D.Carr,592,16,0.7240283233742859,27.59716766257141
2018,MIA,00-0029701,R.Tannehill,303,11,0.7013569401927514,29.864305980724865
2018,MIN,00-0029604,K.Cousins,638,16,0.7337753158938548,26.622468410614516
2018,NE,00-0019596,T.Brady,708,19,0.6770671800957562,32.29328199042439
2018,NO,00-0020531,D.Brees,577,17,0.6796167355605387,32.03832644394613
2018,NYG,00-0022803,E.Manning,619,16,0.7592866314343374,24.071336856566262
2018,NYJ,00-0034869,S.Darnold,436,13,0.762167649804999,23.783235019500104
2018,PHI,00-0032950,C.Wentz,422,11,0.6938253455746796,30.617465442532048
2018,PIT,00-0022924,B.Roethlisberger,684,16,0.682189469906496,31.781053009350398
2018,SEA,00-0029263,R.Wilson,484,17,0.7566414620450213,24.335853795497872
2018,SF,00-0033319,N.Mullens,281,8,0.7382794195434801,26.17205804565199
2018,TB,00-0031503,J.Winston,379,10,0.7175496114039484,28.24503885960516
2018,TEN,00-0032268,M.Mariota,355,13,0.7326893338435133,26.731066615648672
2018,WAS,00-0023436,A.Smith,340,10,0.7438957733485628,25.610422665143716
2019,ARI,00-0035228,K.Murray,578,16,0.7114693641430573,28.853063585694272
2019,ATL,00-0026143,M.Ryan,649,15,0.7445217864860555,25.547821351394447
2019,BAL,00-0034796,L.Jackson,477,16,0.7173232674536215,28.26767325463785
2019,BUF,00-0034857,J.Allen,429,13,0.7164395759294638,28.35604240705361
2019,BUF,00-0034857,Jos.Allen,97,3,0.7143315402502867,28.56684597497134
2019,CAR,00-0034577,K.Allen,526,13,0.7371947563079827,26.280524369201732
2019,CHI,00-0033869,M.Trubisky,542,14,0.7289408901190846,27.105910988091544
2019,CIN,00-0027973,A.Dalton,546,13,0.7490117239864754,25.098827601352454
2019,CLE,00-0034855,B.Mayfield,565,16,0.7131732047527237,28.68267952472763
2019,DAL,00-0033077,D.Prescott,606,16,0.7418678855591088,25.81321144408912
2019,DEN,00-0026158,J.Flacco,282,8,0.7359810673387338,26.40189326612662
2019,DET,00-0026498,M.Stafford,307,8,0.7246271485420314,27.537285145796858
2019,GB,00-0023459,A.Rodgers,666,18,0.6971300855480336,30.28699144519664
2019,HOU,00-0033537,D.Watson,620,17,0.7088298264530397,29.117017354696028
2019,IND,00-0033119,J.Brissett,455,14,0.7280254838230845,27.19745161769154
2019,JAX,00-0035289,G.Minshew,205,6,0.754312170133358,24.56878298666419
2019,JAX,00-0035289,G.Minshew II,289,8,0.7579006772346563,24.209932276534374
2019,KC,00-0033873,P.Mahomes,597,16,0.6628727537503394,33.71272462496606
2019,LA,00-0033106,J.Goff,640,16,0.7172592940740288,28.274070592597127
2019,LAC,00-0022942,P.Rivers,610,16,0.7551726258680469,24.482737413195313
2019,LV,00-0031280,D.Carr,534,16,0.7307460731809282,26.92539268190718
2019,MIA,00-0023682,R.Fitzpatrick,515,13,0.7064563626513898,29.35436373486102
2019,MIN,00-0029604,K.Cousins,525,17,0.7291181950342087,27.088180496579124
2019,NE,00-0019596,T.Brady,670,17,0.7046179598947959,29.53820401052041
2019,NO,00-0020531,D.Brees,412,11,0.6899851099090669,31.001489009093312
2019,NYG,00-0035710,D.Jones,488,12,0.7533242282930945,24.667577170690553
2019,NYJ,00-0034869,S.Darnold,467,13,0.7075662306755207,29.24337693244793
2019,PHI,00-0032950,C.Wentz,636,16,0.7229392681059972,27.70607318940028
2019,PIT,00-0034771,M.Rudolph,293,10,0.7204280872495508,27.95719127504492
2019,SEA,00-0029263,R.Wilson,624,18,0.7205155833373562,27.948441666264372
2019,SF,00-0031345,J.Garoppolo,562,19,0.7029381999182531,29.706180008174687
2019,TB,00-0031503,J.Winston,658,16,0.732860639555476,26.7139360444524
2019,TEN,00-0029701,R.Tannehill,373,14,0.7553871047081321,24.46128952918679
2019,WAS,00-0028986,C.Keenum,247,8,0.7543367580604939,24.566324193950607
2020,ARI,00-0035228,K.Murray,556,15,0.709248475931424,29.075152406857597
2020,ATL,00-0026143,M.Ryan,657,16,0.7178515379105892,28.214846208941083
2020,BAL,00-0034796,L.Jackson,452,17,0.7198339464076984,28.01660535923016
2020,BUF,00-0034857,J.Allen,714,19,0.626679039677652,37.3320960322348
2020,CAR,00-0031237,T.Bridgewater,513,15,0.7113317335151557,28.86682664848443
2020,CHI,00-0033869,M.Trubisky,318,9,0.7123023838554539,28.769761614454616
2020,CIN,00-0036442,J.Burrow,424,10,0.6937233486019496,30.627665139805032
2020,CLE,00-0034855,B.Mayfield,565,18,0.6869383290805647,31.30616709194352
2020,DAL,00-0027973,A.Dalton,342,9,0.7151143086409708,28.488569135902917
2020,DEN,00-0035704,D.Lock,447,12,0.741616919336703,25.8383080663297
2020,DET,00-0026498,M.Stafford,548,15,0.7330221730916604,26.697782690833954
2020,GB,00-0023459,A.Rodgers,624,18,0.64566288367272,35.433711632728006
2020,HOU,00-0033537,D.Watson,587,16,0.7165094075226296,28.349059247737035
2020,IND,00-0022942,P.Rivers,601,17,0.7206745823959939,27.932541760400607
2020,JAX,00-0035289,G.Minshew,116,3,0.7393251169344475,26.067488306555255
2020,JAX,00-0035289,G.Minshew II,231,6,0.7947143739436096,20.528562605639042
2020,KC,00-0033873,P.Mahomes,716,18,0.6560476171737276,34.39523828262723
2020,LA,00-0033106,J.Goff,618,17,0.7016531356691735,29.834686433082645
2020,LAC,00-0036355,J.Herbert,615,15,0.7312744474507928,26.872555254920712
2020,LV,00-0031280,D.Carr,525,15,0.7178749416839508,28.21250583160491
2020,MIA,00-0036212,T.Tagovailoa,304,9,0.6855272899234766,31.447271007652347
2020,MIN,00-0029604,K.Cousins,543,16,0.7209512384721587,27.904876152784126
2020,NE,00-0027939,C.Newton,391,15,0.7362663732541491,26.373362674585085
2020,NO,00-0020531,D.Brees,467,14,0.7121195526877359,28.788044731226417
2020,NYG,00-0035710,D.Jones,489,14,0.724037764811077,27.596223518892298
2020,NYJ,00-0034869,S.Darnold,392,12,0.7283115884555238,27.168841154447623
2020,PHI,00-0032950,C.Wentz,481,12,0.7337200388684094,26.627996113159057
2020,PIT,00-0022924,B.Roethlisberger,679,16,0.6693145895653867,33.06854104346134
2020,SEA,00-0029263,R.Wilson,629,17,0.6780394056666826,32.19605943333174
2020,SF,00-0033319,N.Mullens,324,9,0.7615031517214246,23.849684827857548
2020,TB,00-0019596,T.Brady,753,20,0.6919002216235101,30.809977837649
2020,TEN,00-0029701,R.Tannehill,526,17,0.7335628090787523,26.64371909212477
2020,WAS,00-0023436,A.Smith,273,8,0.7420053706937657,25.799462930623427
2021,ARI,00-0035228,K.Murray,542,15,0.7167478409283056,28.325215907169444
2021,ATL,00-0026143,M.Ryan,588,17,0.7320304120681724,26.796958793182764
2021,BAL,00-0034796,L.Jackson,408,11,0.7156888084193948,28.43111915806053
2021,BUF,00-0034857,J.Allen,681,18,0.6823143332802777,31.768566671972234
2021,BUF,00-0034857,Jos.Allen,43,1,0.6175645118535951,38.24354881464049
2021,CAR,00-0034869,S.Darnold,437,12,0.7317256973864558,26.827430261354426
2021,CHI,00-0036945,J.Fields,287,10,0.7552131048374475,24.478689516255248
2021,CIN,00-0036442,J.Burrow,717,20,0.6972569720598777,30.274302794012232
2021,CLE,00-0034855,B.Mayfield,453,14,0.7183172312332832,28.168276876671687
2021,DAL,00-0033077,D.Prescott,664,17,0.705192830772644,29.480716922735592
2021,DEN,00-0031237,T.Bridgewater,428,13,0.7334440927430291,26.65559072569709
2021,DET,00-0033106,J.Goff,514,14,0.7438449829758838,25.615501702411628
2021,GB,00-0023459,A.Rodgers,318,9,0.6640089109024536,33.599108909754634
2021,GB,00-0023459,Aa.Rodgers,267,8,0.6480190831233054,35.19809168766947
2021,HOU,00-0036898,D.Mills,399,12,0.7469976143281263,25.300238567187375
2021,IND,00-0032950,C.Wentz,541,17,0.7092628158394819,29.07371841605181
2021,JAX,00-0036971,T.Lawrence,624,17,0.7504610362438819,24.953896375611805
2021,KC,00-0033873,P.Mahomes,806,20,0.6471577999517136,35.28422000482863
2021,LA,00-0026498,M.Stafford,764,21,0.6879002751870306,31.209972481296948
2021,LAC,00-0036355,J.Herbert,699,17,0.71857606938298,28.142393061702002
2021,LV,00-0031280,D.Carr,703,18,0.7186279506720655,28.137204932793445
2021,MIA,00-0036212,T.Tagovailoa,381,11,0.6864401606397992,31.35598393602008
2021,MIN,00-0029604,K.Cousins,578,16,0.7257595016237568,27.424049837624324
2021,NE,00-0036972,M.Jones,582,18,0.7272110059089267,27.278899409107325
2021,NO,00-0031503,J.Winston,160,6,0.690222954750061,30.977704524993896
2021,NYG,00-0035710,D.Jones,363,10,0.6999354635059998,30.006453649400022
2021,NYJ,00-0037013,Z.Wilson,413,12,0.7479818570123169,25.20181429876831
2021,PHI,00-0036389,J.Hurts,494,16,0.7136261464070212,28.63738535929788
2021,PIT,00-0022924,B.Roethlisberger,674,17,0.7379827699914177,26.201723000858234
2021,SEA,00-0029263,R.Wilson,425,14,0.7141488142399227,28.58511857600773
2021,SF,00-0031345,J.Garoppolo,511,17,0.7387454363493771,26.1254563650623
2021,TB,00-0019596,T.Brady,830,19,0.6873462896390133,31.265371036098664
2021,TEN,00-0029701,R.Tannehill,592,18,0.7326288968953933,26.737110310460668
2021,WAS,00-0031800,T.Heinicke,526,16,0.7202908090482193,27.97091909517807
2022,ARI,00-0035228,K.Murray,408,10,0.7611296560944003,23.88703439055997
2022,ATL,00-0032268,M.Mariota,317,13,0.7398804328889125,26.011956711108752
2022,BAL,00-0034796,L.Jackson,342,11,0.6615848418390542,33.841515816094585
2022,BUF,00-0034857,J.Allen,681,18,0.6737567614736624,32.624323852633765
2022,CAR,00-0034855,B.Mayfield,221,7,0.7254953306185175,27.450466938148256
2022,CHI,00-0036945,J.Fields,372,15,0.7318468850146058,26.815311498539423
2022,CIN,00-0036442,J.Burrow,753,19,0.6676392043194923,33.23607956805077
2022,CLE,00-0033119,J.Brissett,385,11,0.7575612356910458,24.243876430895423
2022,DAL,00-0033077,D.Prescott,479,14,0.7100969676651636,28.99030323348364
2022,DEN,00-0029263,R.Wilson,536,15,0.7247669573650876,27.52330426349124
2022,DET,00-0033106,J.Goff,602,17,0.6820166943303968,31.798330566960317
2022,GB,00-0023459,A.Rodgers,566,17,0.7069527386644915,29.304726133550858
2022,HOU,00-0036898,D.Mills,505,15,0.7514237760907353,24.857622390926473
2022,IND,00-0026143,M.Ryan,495,12,0.7516394638352923,24.83605361647076
2022,JAX,00-0036971,T.Lawrence,689,19,0.7215586243459552,27.84413756540448
2022,KC,00-0033873,P.Mahomes,765,20,0.6358895504688905,36.41104495311095
2022,LA,00-0026498,M.Stafford,326,9,0.7214558998957002,27.85441001042998
2022,LAC,00-0036355,J.Herbert,775,18,0.7156489313898547,28.43510686101452
2022,LV,00-0031280,D.Carr,521,15,0.751509894607964,24.849010539203597
2022,MIA,00-0036212,T.Tagovailoa,400,12,0.6751658607088029,32.483413929119706
2022,MIN,00-0029604,K.Cousins,712,18,0.7207538188968816,27.924618110311837
2022,NE,00-0036972,M.Jones,465,13,0.7113745791457032,28.862542085429673
2022,NO,00-0027973,A.Dalton,400,14,0.7497118628956377,25.028813710436225
2022,NYG,00-0035710,D.Jones,574,18,0.734074448121757,26.592555187824296
2022,NYJ,00-0037013,Z.Wilson,263,9,0.7371570143862822,26.284298561371777
2022,PHI,00-0036389,J.Hurts,583,18,0.661030841349124,33.89691586508759
2022,PIT,00-0038102,K.Pickett,396,11,0.725625566159836,27.437443384016404
2022,SEA,00-0030565,G.Smith,644,18,0.7027544284598057,29.724557154019426
2022,SF,00-0031345,J.Garoppolo,314,10,0.7164236404903376,28.357635950966245
2022,TB,00-0019596,T.Brady,815,18,0.7254566740496027,27.45433259503973
2022,TEN,00-0029701,R.Tannehill,351,12,0.7277948500699977,27.220514993000233
2022,WAS,00-0031800,T.Heinicke,273,9,0.7325218734177914,26.747812658220855
2023,ARI,00-0033949,J.Dobbs,281,8,0.7606265635571021,23.937343644289783
2023,ATL,00-0038122,D.Ridder,386,12,0.7561800540111225,24.381994598887744
2023,BAL,00-0034796,L.Jackson,551,18,0.6862330574359738,31.37669425640262
2023,BUF,00-0034857,J.Allen,663,19,0.6902639886327818,30.97360113672182
2023,CAR,00-0039150,B.Young,582,16,0.7644039773193422,23.559602268065785
2023,CHI,00-0036945,J.Fields,409,13,0.7039919906548591,29.60080093451409
2023,CIN,00-0036442,J.Burrow,366,9,0.6656478655834993,33.43521344165007
2023,CLE,00-0026158,J.Flacco,259,6,0.6836102417882345,31.63897582117655
2023,DAL,00-0033077,D.Prescott,686,18,0.6850817101863661,31.49182898136339
2023,DEN,00-0029263,R.Wilson,479,15,0.7396900337772728,26.030996622272724
2023,DET,00-0033106,J.Goff,739,20,0.6877276924349297,31.22723075650703
2023,GB,00-0036264,J.Love,658,19,0.6973643278346416,30.263567216535833
2023,HOU,00-0039163,C.Stroud,575,17,0.721357566817947,27.864243318205293
2023,IND,00-0035289,G.Minshew,516,15,0.7214571585546631,27.854284144533697
