season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2020,BUF,00-0034857,J.Allen,19,1115,0.6723867777858817,0.5678630231945874,10.452375459129437
2020,KC,00-0033873,P.Mahomes,18,1118,0.6794690568707847,0.5781334789156232,10.133557795516163
2020,KC,00-0026197,C.Henne,1,49,0.6530612244897959,0.5686251919488517,8.443603254094416
2020,DEN,00-0032436,J.Driskel,1,46,0.8043478260869565,0.7245855794652648,7.976224662169166
2020,WAS,00-0031800,T.Heinicke,1,68,0.7647058823529411,0.6898897417327937,7.481614062014748
2020,WAS,00-0034577,K.Allen,4,164,0.65592748133509,0.5828641671776964,7.306331415739363
2020,PIT,00-0022924,B.Roethlisberger,16,1022,0.6642847944512906,0.5938427232611528,7.04420711901378
2020,SEA,00-0029263,R.Wilson,17,1028,0.6624641776988129,0.6053450738366295,5.71191038621834
2020,HOU,00-0033537,D.Watson,16,912,0.7057580480131934,0.650277339754874,5.54807082583194
2020,TB,00-0019596,T.Brady,20,1191,0.6392187612665443,0.5941493966271542,4.506936463939017
2020,CIN,00-0036442,J.Burrow,10,668,0.6576487162102762,0.6204664437652381,3.7182272445038054
2020,GB,00-0023459,A.Rodgers,18,1094,0.5954137975910574,0.5649715527679339,3.0442244823123503
2020,CHI,00-0029567,N.Foles,7,421,0.7035629875383227,0.676494328838255,2.706865870006769
2020,CAR,00-0033275,P.Walker,1,64,0.546875,0.5207968228496611,2.607817715033889
2020,MIA,00-0023682,R.Fitzpatrick,7,423,0.6029106343392058,0.5792006062736456,2.371002806556021
2020,JAX,00-0035289,G.Minshew,3,182,0.6861882920788952,0.6641109740806175,2.2077317998277715
2020,CAR,00-0031237,T.Bridgewater,15,866,0.6398253671995552,0.6221414512751106,1.7683915924444682
2020,MIA,00-0036212,T.Tagovailoa,9,524,0.6026182087578323,0.5849701984495977,1.7648010308234556
2020,JAX,00-0030520,M.Glennon,5,276,0.677935826953103,0.6632120717666277,1.4723755186475342
2020,PHI,00-0032950,C.Wentz,12,747,0.6714100259222652,0.6639437066475331,0.7466319274732038
2020,ATL,00-0026143,M.Ryan,16,1048,0.6415042039195897,0.6340780254555853,0.7426178464004431
2020,DAL,00-0033077,D.Prescott,5,333,0.6802168204850869,0.6740047801941411,0.6212040290945712
2020,DET,00-0026498,M.Stafford,16,895,0.6440395316230969,0.6385385203590956,0.55010112640013
2020,NYG,00-0035710,D.Jones,14,796,0.6355788868123838,0.6317635058373517,0.3815380975032097
2020,WAS,00-0035232,D.Haskins,6,378,0.6575396825396825,0.658438025108445,-0.0898342568762401
2020,PHI,00-0036389,J.Hurts,4,250,0.6178822820253559,0.6251690685970946,-0.7286786571738824
2020,LAC,00-0036355,J.Herbert,15,1025,0.6224167163110959,0.6302686866290278,-0.7851970317931776
2020,LA,00-0033106,J.Goff,16,1036,0.5968126207823422,0.6072909806190266,-1.047835983668437
2020,JAX,00-0035289,G.Minshew II,5,303,0.6987709386460501,0.7102128393943119,-1.1441900748261824
2020,JAX,00-0036312,J.Luton,3,182,0.6510846166583871,0.6648661572114188,-1.3781540553031684
2020,DAL,00-0027973,A.Dalton,9,567,0.6169650989623406,0.631264523166378,-1.4299424204037265
2020,WAS,00-0023436,A.Smith,6,369,0.5840273382117765,0.5984206399312934,-1.4393301719516831
2020,CHI,00-0033869,M.Trubisky,10,606,0.6000732127011275,0.6195861738689012,-1.9512961167773875
2020,ARI,00-0035228,K.Murray,16,1026,0.6010540326540729,0.6214820557898603,-2.0428023135787465
2020,LA,00-0034899,J.Wolford,2,87,0.514524647887324,0.5359293698123329,-2.1404721925008885
2020,LV,00-0031280,D.Carr,16,941,0.5879886419266215,0.6143588692075914,-2.63702272809699
2020,NO,00-0020531,D.Brees,14,831,0.5779630027913772,0.6078323717749068,-2.986936898352945
2020,CLE,00-0034855,B.Mayfield,18,1083,0.5420295904491814,0.5805097521727328,-3.848016172355143
2020,NYJ,00-0034869,S.Darnold,12,693,0.601427507449083,0.6411312124566503,-3.9703705007567223
2020,CIN,00-0032434,B.Allen,5,251,0.6004754541706504,0.6402723101150555,-3.9796855944405074
2020,PIT,00-0034771,M.Rudolph,1,60,0.6833333333333333,0.7242666487892468,-4.093331545591354
2020,DEN,00-0035704,D.Lock,13,786,0.5950620140737383,0.640251109965926,-4.518909589218781
2020,NYJ,00-0026158,J.Flacco,4,228,0.6176215028207438,0.663241654566905,-4.5620151746161195
2020,IND,00-0022942,P.Rivers,17,1057,0.571261657502896,0.6169583195820587,-4.569666207916272
2020,DAL,00-0031395,G.Gilbert,1,69,0.5797101449275363,0.6264023629651554,-4.669221803761911
2020,MIN,00-0029604,K.Cousins,16,1000,0.5565788351863266,0.6116624111620932,-5.508357597576662
2020,NO,00-0033357,T.Hill,4,262,0.5321571688784803,0.5876482831106955,-5.549111423221512
2020,SF,00-0033319,N.Mullens,8,507,0.5974841236661889,0.6539805086070896,-5.6496384940900715
2020,SF,00-0033936,C.Beathard,2,118,0.5517939814814815,0.6130928745389812,-6.129889305749977
2020,SF,00-0031345,J.Garoppolo,6,291,0.5363996501517724,0.6085014563478738,-7.210180619610132
2020,DEN,00-0034955,B.Rypien,1,55,0.5454545454545454,0.6205433263020081,-7.508878084746274
2020,NYG,00-0027688,C.McCoy,2,103,0.5564150943396227,0.6367352732931668,-8.032017895354414
2020,BAL,00-0034796,L.Jackson,17,988,0.5110278872738411,0.6031240316250718,-9.209614435123076
2020,TEN,00-0029701,R.Tannehill,17,1044,0.5213864181753259,0.6160981688298777,-9.471175065455173
2020,DAL,00-0036384,B.DiNucci,1,77,0.5714285714285714,0.6781256702039149,-10.669709877534347
2020,NE,00-0027939,C.Newton,15,817,0.4985487305550663,0.6253819257942453,-12.683319523917898
2020,NE,00-0026625,B.Hoyer,1,54,0.5,0.6414912886641644,-14.149128866416437
2020,LAC,00-0028118,T.Taylor,1,70,0.4857142857142857,0.6354533678718975,-14.973908215761185
2020,CIN,00-0035652,R.Finley,1,55,0.2909090909090909,0.5312987372956492,-24.038964638655838
2020,BAL,00-0029665,R.Griffin,1,40,0.375,0.6775961354374885,-30.259613543748856
2020,DEN,00-0035864,K.Hinton,1,43,0.2558139534883721,0.7046505101891452,-44.8836556700773
