team,qb_name,first_start_season,age_at_first_start,era
ARI,C.Palmer,2013,33.80150581793292,2010s
ARI,D.Anderson,2010,27.3347022587269,2010s
ARI,D.Anderson,2010,27.3347022587269,2010s
ARI,D.Anderson,2010,27.3347022587269,2010s
ARI,D.Anderson,2010,27.3347022587269,2010s
ARI,D.Stanton,2014,30.439425051334702,2010s
ARI,D.Stanton,2014,30.439425051334702,2010s
ARI,J.Blake,2003,32.86242299794661,2000s
ARI,J.Dobbs,2023,28.71731690622861,2020s
ARI,J.McCown,2004,25.284052019164957,2000s
ARI,J.Plummer,2000,25.82340862422998,2000s
ARI,J.Rosen,2018,21.675564681724847,2010s
ARI,J.Skelton,2012,24.580424366872005,2010s
ARI,K.Kolb,2011,27.140314852840522,2010s
ARI,K.Murray,2019,22.187542778918548,2010s
ARI,K.Murray,2019,22.187542778918548,2010s
ARI,K.Warner,2005,34.31622176591376,2000s
ARI,M.Leinart,2006,23.430527036276523,2000s
ATL,C.Chandler,2000,35.00889801505818,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Johnson,2003,25.965776865160848,2000s
ATL,D.Ridder,2023,24.123203285420946,2020s
ATL,J.Harrington,2007,28.982888432580424,2000s
ATL,K.Cousins,2024,36.15605749486653,2020s
ATL,M.Mariota,2022,28.958247775496236,2020s
ATL,M.Ryan,2008,23.41409993155373,2000s
ATL,M.Vick,2002,22.302532511978097,2000s
BAL,A.Wright,2005,29.66735112936345,2000s
BAL,E.Grbac,2001,31.173169062286107,2000s
BAL,J.Blake,2002,31.863107460643395,2000s
BAL,J.Flacco,2008,23.745379876796715,2000s
BAL,K.Boller,2003,22.327173169062284,2000s
BAL,L.Jackson,2019,22.767967145790553,2010s
BAL,L.Jackson,2019,22.767967145790553,2010s
BAL,L.Jackson,2019,22.767967145790553,2010s
BAL,L.Jackson,2019,22.767967145790553,2010s
BAL,S.McNair,2006,33.66461327857632,2000s
BAL,T.Banks,2000,27.529089664613277,2000s
BUF,A.Van Pelt,2001,31.457905544147845,2000s
BUF,D.Bledsoe,2002,30.666666666666668,2000s
BUF,E.Manuel,2013,23.575633127994525,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Allen,2018,22.401095140314855,2010s
BUF,J.Losman,2005,24.594113620807665,2000s
BUF,K.Orton,2014,31.917864476386036,2010s
BUF,R.Fitzpatrick,2009,26.8911704312115,2000s
BUF,R.Johnson,2000,27.578370978781656,2000s
BUF,R.Johnson,2000,27.578370978781656,2000s
BUF,R.Johnson,2000,27.578370978781656,2000s
BUF,R.Johnson,2000,27.578370978781656,2000s
BUF,T.Edwards,2007,23.958932238193018,2000s
BUF,T.Edwards,2007,23.958932238193018,2000s
BUF,T.Edwards,2007,23.958932238193018,2000s
BUF,T.Taylor,2015,26.198494182067076,2010s
BUF,T.Taylor,2015,26.198494182067076,2010s
BUF,T.Taylor,2015,26.198494182067076,2010s
BUF,T.Taylor,2015,26.198494182067076,2010s
BUF,T.Taylor,2015,26.198494182067076,2010s
CAR,B.Mayfield,2022,27.50444900752909,2020s
CAR,B.Young,2023,22.223134839151268,2020s
CAR,B.Young,2023,22.223134839151268,2020s
CAR,B.Young,2023,22.223134839151268,2020s
CAR,C.Newton,2011,22.428473648186174,2010s
CAR,C.Weinke,2001,29.207392197125255,2000s
CAR,D.Carr,2007,28.23545516769336,2000s
CAR,J.Clausen,2010,23.066392881587955,2010s
CAR,J.Delhomme,2003,28.761122518822724,2000s
CAR,K.Allen,2019,23.603011635865844,2010s
CAR,K.Allen,2019,23.603011635865844,2010s
CAR,K.Allen,2019,23.603011635865844,2010s
CAR,R.Peete,2002,36.58316221765914,2000s
CAR,S.Beuerlein,2000,35.60848733744011,2000s
CAR,S.Darnold,2021,24.361396303901437,2020s
CAR,T.Bridgewater,2020,27.928815879534564,2020s
CHI,C.Krenzel,2004,23.290896646132786,2000s
CHI,C.McNown,2000,23.756331279945243,2000s
CHI,C.Williams,2024,22.90759753593429,2020s
CHI,C.Williams,2024,22.90759753593429,2020s
CHI,C.Williams,2024,22.90759753593429,2020s
CHI,C.Williams,2024,22.90759753593429,2020s
CHI,C.Williams,2024,22.90759753593429,2020s
CHI,J. Miller,2001,30.680355920602327,2000s
CHI,J.Cutler,2009,26.46406570841889,2000s
CHI,J.Fields,2021,22.614647501711158,2020s
CHI,J.Miller,2002,31.679671457905545,2000s
CHI,J.Miller,2002,31.679671457905545,2000s
CHI,J.Miller,2002,31.679671457905545,2000s
CHI,K.Orton,2005,22.91854893908282,2000s
CHI,K.Stewart,2003,30.99520876112252,2000s
CHI,M.Barkley,2016,26.102669404517453,2010s
CHI,M.Trubisky,2017,23.15400410677618,2010s
CHI,R.Grossman,2006,26.143737166324435,2000s
CIN,A.Dalton,2011,23.96167008898015,2010s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,A.Smith,2000,25.152635181382614,2000s
CIN,C.Palmer,2004,24.802190280629706,2000s
CIN,J.Burrow,2020,23.8466803559206,2020s
CIN,J.Kitna,2001,29.065023956194388,2000s
CIN,R.Fitzpatrick,2008,25.89185489390828,2000s
CLE,B.Hoyer,2014,29.00479123887748,2010s
CLE,B.Mayfield,2018,23.50444900752909,2010s
CLE,B.Quinn,2009,24.966461327857633,2000s
CLE,B.Weeden,2012,29.00479123887748,2010s
CLE,C.Frye,2006,25.130732375085557,2000s
CLE,C.McCoy,2010,24.109514031485283,2010s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Kizer,2017,21.782340862423,2010s
CLE,D.Watson,2023,28.084873374401095,2020s
CLE,D.Watson,2023,28.084873374401095,2020s
CLE,J.Brissett,2022,29.842573579739906,2020s
CLE,J.Garcia,2004,34.639288158795345,2000s
CLE,J.Manziel,2015,22.855578370978783,2010s
CLE,J.Winston,2024,30.77344284736482,2020s
CLE,K. Holcomb,2003,30.26694045174538,2000s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,T.Couch,2000,23.208761122518823,2000s
CLE,T.Dilfer,2005,33.59069130732375,2000s
DAL,A.Dalton,2020,32.9637234770705,2020s
DAL,C.Hutchinson,2002,25.645448323066393,2000s
DAL,D.Bledsoe,2005,33.667351129363446,2000s
DAL,D.Prescott,2016,23.21423682409309,2010s
DAL,J.Kitna,2010,38.064339493497606,2010s
DAL,M.Cassel,2015,33.412731006160165,2010s
DAL,Q.Carter,2001,24.005475701574266,2000s
DAL,T.Aikman,2000,33.90006844626968,2000s
DAL,T.Romo,2006,26.483230663928815,2000s
DAL,V.Testaverde,2004,40.92265571526352,2000s
DEN,B.Griese,2000,25.579739904175224,2000s
DEN,B.Nix,2024,24.637919233401778,2020s
DEN,C.Keenum,2018,30.65845311430527,2010s
DEN,D.Lock,2020,23.928815879534564,2020s
DEN,J.Cutler,2007,24.462696783025326,2000s
DEN,J.Flacco,2019,34.743326488706366,2010s
DEN,J.Plummer,2003,28.82135523613963,2000s
DEN,K.Orton,2009,26.91854893908282,2000s
DEN,P.Manning,2012,36.56125941136208,2010s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,T.Bridgewater,2021,28.928131416837783,2020s
