player_norm,draft_team,draft_season
A.Brooks,GB,1999
A.Davis,,
A.Feeley,PHI,2001
A.Smith,SF,2005
A.Van Pelt,BUF,1993
A.Walter,OAK,2005
A.Wright,PIT,1999
Aa.Rodgers,GB,2005
Alex Smith,SF,2005
B.Bollinger,NYJ,2003
B.Favre,ATL,1991
B.Gradkowski,TB,2006
B.Griese,DEN,1998
B.Hoyer,UND,2009
B.Johnson,MIN,1992
B.Leftwich,JAX,2003
B.Quinn,CLE,2007
B.Tolliver,UND,1989
B.Volek,UND,2000
C.Batch,DET,1998
C.Chandler,,
C.Frye,,
C.Hutchinson,DAL,2002
C.Kaepernick,,
C.Keenum,,
C.Krenzel,CHI,2004
C.Lemon,,
C.McNown,,
C.Painter,,
C.Pennington,NYJ,2000
C.Ponder,,
C.Simms,TB,2003
C.Weinke,CAR,2001
C.Whitehurst,SEA,2006
D. Brees,,
D. Culpepper,,
D.Bledsoe,NE,1993
D.Culpepper,MIN,1999
D.Flutie,,
D.Garrard,JAX,2002
D.Huard,,
D.Johnson,,
D.Marino,,
D.McNabb,PHI,1999
D.Pederson,,
E.Grbac,SF,1993
G.Frerotte,WAS,1994
G.Minshew II,,
J. Fiedler,,
J. Miller,,
J.Blake,NYJ,1992
J.Campbell,WAS,2005
J.Clausen,,
J.Delhomme,UND,1997
J.Fiedler,,
J.Freeman,TB,2009
J.Garcia,UND,1994
J.George,,
J.Harbaugh,,
J.Harrington,DET,2002
J.Kitna,UND,1996
J.Locker,,
J.Losman,BUF,2004
J.Manziel,CLE,2014
J.Miller,PIT,1994
J.Plummer,ARI,1997
J.Russell,OAK,2007
J.Skelton,ARI,2010
K. Collins,,
K. Holcomb,,
K.Allen,,
K.Boller,BAL,2003
K.Collins,CAR,1995
K.Graham,,
K.Holcomb,,
K.Kolb,PHI,2007
K.Orton,CHI,2005
K.Stewart,,
K.Warner,UND,1994
M. Brunell,,
M. Bulger,,
M.Brunell,GB,1993
M.Bulger,NO,2000
M.Hasselbeck,GB,1998
M.Leinart,ARI,2006
M.Moore,UND,2012
M.Vick,ATL,2001
N.Mullens,UND,2017
P.Manning,IND,1998
P.Ramsey,WAS,2002
Q.Carter,,
R. Gannon,,
R.Gannon,NE,1987
R.Griffin,WAS,2012
R.Grossman,CHI,2003
R.Johnson,,
R.Leaf,,
R.Lindley,,
R.Lucas,,
R.Peete,,
S. Matthews,,
S.Beuerlein,WAS,1987
S.Darnold,,
S.Hill,UND,2002
S.King,TB,1999
S.Matthews,CHI,1996
S.McNair,TEN,1995
S.Wallace,SEA,2003
Sh.Hill,,
T. Green,,
T. Maddox,,
T.Aikman,DAL,1989
T.Banks,STL,1996
T.Collins,,
T.Couch,,
T.DeVito,,
T.Dilfer,,
T.Edwards,BUF,2007
T.Green,WAS,1993
T.Heinicke,,
T.Huntley,UND,2020
T.Jackson,MIN,2006
T.Maddox,,
T.Pryor,,
T.Rattay,SF,2000
T.Romo,UND,2003
T.Thigpen,,
V.Testaverde,TB,1987
V.Young,TEN,2006
