player_norm,team,season,age_at_bench
A.Brooks,NO,2001,17.489390828199863
A.Brooks,NO,2002,18.48596851471595
A.Brooks,NO,2003,19.482546201232033
A.Brooks,NO,2004,20.49828884325804
A.Brooks,NO,2005,21.49486652977413
A.Brooks,NO,2005,7.871321013004791
A.Dalton,CIN,2019,31.860369609856264
A.Dalton,DAL,2020,32.97467488021903
A.Dalton,NO,2022,34.926762491444215
A.Davis,LA,2014,15.68788501026694
A.Davis,LA,2014,17.908281998631075
A.Davis,LA,2014,25.26488706365503
A.Davis,LA,2014,19.531827515400412
A.Luck,IND,2014,24.985626283367555
A.Luck,IND,2016,26.99794661190965
A.Luck,IND,2018,28.99110198494182
A.O'Connell,LV,2023,25.08145106091718
A.Richardson,IND,2024,29.270362765229294
A.Richardson,IND,2024,22.299794661190965
A.Rodgers,GB,2008,24.76933607118412
A.Rodgers,GB,2009,25.782340862423
A.Rodgers,GB,2010,26.77891854893908
A.Rodgers,GB,2011,27.76728268309377
A.Rodgers,GB,2012,28.772073921971252
A.Rodgers,GB,2013,29.76865160848734
A.Rodgers,GB,2014,30.757015742642025
A.Rodgers,GB,2015,31.78097193702943
A.Rodgers,GB,2016,32.77754962354552
A.Rodgers,GB,2016,16.969199178644764
A.Rodgers,GB,2018,34.770704996577685
A.Rodgers,GB,2019,35.75906913073238
A.Rodgers,GB,2020,36.78302532511978
A.Rodgers,GB,2020,20.974674880219027
A.Rodgers,GB,2022,38.776180698151954
A.Rodgers,GB,2022,22.967830253251197
A.Rodgers,NYJ,2024,40.772073921971256
A.Rodgers,NYJ,2024,24.9637234770705
A.Smith,CIN,2000,-0.7200547570157426
A.Smith,CIN,2000,10.959616700889802
A.Smith,CIN,2000,16.344969199178646
A.Smith,CIN,2000,13.626283367556468
A.Smith,CIN,2000,3.3921971252566734
A.Smith,CIN,2000,-1.0841889117043122
A.Smith,KC,2013,12.27378507871321
A.Smith,KC,2013,23.953456536618756
A.Smith,KC,2013,29.338809034907598
A.Smith,KC,2013,26.62012320328542
A.Smith,KC,2013,16.386036960985628
A.Smith,KC,2014,13.270362765229295
A.Smith,KC,2014,24.95003422313484
A.Smith,KC,2014,30.33538672142368
A.Smith,KC,2014,27.616700889801507
A.Smith,KC,2014,17.38261464750171
A.Smith,KC,2015,14.286105407255304
A.Smith,KC,2015,25.965776865160848
A.Smith,KC,2015,31.351129363449694
A.Smith,KC,2015,28.632443531827516
A.Smith,KC,2015,18.39835728952772
A.Smith,KC,2016,15.28268309377139
A.Smith,KC,2016,26.962354551676935
A.Smith,KC,2016,32.34770704996578
A.Smith,KC,2016,29.6290212183436
A.Smith,KC,2016,19.394934976043807
A.Smith,KC,2017,16.27104722792608
A.Smith,KC,2017,27.95071868583162
A.Smith,KC,2017,33.33607118412046
A.Smith,KC,2017,30.61738535249829
A.Smith,KC,2017,20.383299110198493
A.Smith,KC,2017,15.906913073237508
A.Smith,SF,2005,4.358658453114305
A.Smith,SF,2005,16.03832991101985
A.Smith,SF,2005,21.423682409308693
A.Smith,SF,2005,18.704996577686515
A.Smith,SF,2005,8.470910335386721
A.Smith,SF,2006,5.278576317590692
A.Smith,SF,2006,16.958247775496236
A.Smith,SF,2006,22.34360027378508
A.Smith,SF,2006,19.6249144421629
A.Smith,SF,2006,9.390828199863108
A.Smith,SF,2007,6.277891854893908
A.Smith,SF,2007,17.95756331279945
A.Smith,SF,2007,23.342915811088297
A.Smith,SF,2007,20.62422997946612
A.Smith,SF,2007,10.390143737166325
A.Smith,SF,2007,5.9137577002053385
A.Smith,SF,2009,8.402464065708418
A.Smith,SF,2009,20.082135523613964
A.Smith,SF,2009,25.467488021902806
A.Smith,SF,2009,22.748802190280628
A.Smith,SF,2009,12.514715947980836
A.Smith,SF,2010,9.284052019164955
A.Smith,SF,2010,20.9637234770705
A.Smith,SF,2010,26.349075975359344
A.Smith,SF,2010,23.630390143737166
A.Smith,SF,2010,13.396303901437372
A.Smith,SF,2011,10.318959616700889
A.Smith,SF,2011,21.998631074606433
A.Smith,SF,2011,27.38398357289528
A.Smith,SF,2011,24.6652977412731
A.Smith,SF,2011,14.431211498973306
A.Smith,SF,2012,11.277207392197125
A.Smith,SF,2012,22.95687885010267
A.Smith,SF,2012,28.34223134839151
A.Smith,SF,2012,25.623545516769337
A.Smith,SF,2012,15.38945927446954
A.Smith,SF,2012,10.913073237508556
A.Smith,WAS,2018,17.27583846680356
A.Smith,WAS,2018,28.955509924709105
A.Smith,WAS,2018,34.340862422997944
A.Smith,WAS,2018,31.62217659137577
A.Smith,WAS,2018,21.388090349075977
A.Smith,WAS,2018,16.91170431211499
A.Smith,WAS,2020,19.364818617385353
A.Smith,WAS,2020,31.044490075290895
A.Smith,WAS,2020,36.42984257357974
A.Smith,WAS,2020,33.711156741957566
A.Smith,WAS,2020,23.477070499657767
A.Smith,WAS,2020,19.000684462696782
A.Walter,LV,2006,10.08350444900753
A.Wright,BAL,2005,5.01574264202601
B.Bortles,JAX,2018,26.365503080082135
B.Gabbert,JAX,2012,22.902121834360027
B.Hoyer,CLE,2014,28.90075290896646
B.Hoyer,HOU,2015,29.916495550992472
B.Hundley,GB,2017,24.334017796030118
B.Johnson,MIN,2005,12.684462696783026
B.Johnson,MIN,2005,7.263518138261465
B.Johnson,MIN,2005,2.6009582477754964
B.Johnson,MIN,2005,6.655715263518139
B.Johnson,MIN,2006,13.54962354551677
B.Johnson,MIN,2006,8.128678986995208
B.Johnson,MIN,2006,3.46611909650924
B.Johnson,MIN,2006,7.520876112251882
B.Johnson,MIN,2006,7.537303216974675
B.Johnson,TB,2001,8.544832306639288
B.Johnson,TB,2001,3.1238877481177276
B.Johnson,TB,2001,-1.538672142368241
B.Johnson,TB,2001,2.516084873374401
B.Johnson,TB,2002,9.541409993155373
B.Johnson,TB,2002,4.120465434633813
B.Johnson,TB,2002,-0.5420944558521561
B.Johnson,TB,2002,3.512662559890486
B.Johnson,TB,2003,10.54072553045859
B.Johnson,TB,2003,5.119780971937029
B.Johnson,TB,2003,0.45722108145106094
B.Johnson,TB,2003,4.511978097193703
B.Johnson,TB,2003,4.528405201916495
B.Johnson,WAS,2000,7.529089664613279
B.Johnson,WAS,2000,2.108145106091718
B.Johnson,WAS,2000,-2.5544147843942504
B.Johnson,WAS,2000,1.5003422313483916
B.Johnson,WAS,2000,1.516769336071184
B.Mayfield,CAR,2022,27.411362080766597
B.Mayfield,CLE,2021,26.414784394250514
B.Mayfield,TB,2024,29.404517453798768
B.Nix,DEN,2024,24.536618754277892
B.Osweiler,HOU,2016,25.804243668720055
B.Purdy,SF,2024,24.70362765229295
B.Roethlisberger,PIT,2018,36.52292950034223
B.Roethlisberger,PIT,2021,39.53182751540041
B.Weeden,CLE,2013,29.90280629705681
B.Young,CAR,2023,22.127310061601644
B.Young,CAR,2023,22.830937713894592
B.Young,CAR,2024,23.123887748117728
B.Young,CAR,2024,23.82751540041068
B.Young,CAR,2024,26.491444216290212
C.Beathard,SF,2017,23.912388774811774
C.Henne,JAX,2013,28.205338809034906
C.Henne,MIA,2010,25.196440793976727
C.Keenum,DEN,2018,30.559890485968516
C.Keenum,LA,2016,28.569472963723477
C.Keenum,MIN,2017,29.582477754962355
C.Keenum,WAS,2019,31.5564681724846
C.Lemon,MIA,2007,14.743326488706366
C.McCoy,CLE,2011,25.01574264202601
C.Newton,CAR,2018,29.3305954825462
C.Newton,NE,2020,31.342915811088297
C.Palmer,ARI,2013,33.700205338809035
C.Palmer,ARI,2017,37.7056810403833
C.Palmer,CIN,2007,27.704312114989733
C.Palmer,CIN,2010,30.71047227926078
C.Palmer,LV,2012,32.70636550308008
C.Stroud,HOU,2024,22.93223819301848
C.Wentz,IND,2021,28.700889801505816
C.Wentz,PHI,2020,27.704312114989733
C.Williams,CHI,2024,22.806297056810404
C.Williams,CHI,2024,20.89801505817933
C.Williams,CHI,2024,29.88911704312115
C.Williams,CHI,2024,24.750171115674195
C.Williams,CHI,2024,27.326488706365502
D.Anderson,ARI,2010,13.00479123887748
D.Anderson,ARI,2010,27.24435318275154
D.Anderson,ARI,2010,18.146475017111566
D.Anderson,ARI,2010,14.902121834360027
D.Anderson,CLE,2007,9.995893223819301
D.Anderson,CLE,2007,24.23545516769336
D.Anderson,CLE,2007,15.137577002053389
D.Anderson,CLE,2008,10.992470910335387
D.Anderson,CLE,2008,25.232032854209447
D.Anderson,CLE,2008,16.134154688569474
D.Anderson,CLE,2008,12.889801505817934
D.Brees,LAC,2002,23.64681724845996
D.Brees,LAC,2005,26.65571526351814
D.Brees,NO,2020,41.661875427789184
D.Carr,CAR,2007,16.50924024640657
D.Carr,HOU,2006,15.455167693360712
D.Carr,LV,2022,31.457905544147845
D.Carr,NO,2024,33.451060917180016
D.Johnson,ATL,2003,7.526351813826146
D.Johnson,ATL,2003,4.856947296372348
D.Johnson,ATL,2003,7.8056125941136205
D.Johnson,ATL,2003,6.425735797399041
D.Johnson,ATL,2003,16.032854209445585
D.Johnson,ATL,2003,11.72621492128679
D.Johnson,ATL,2003,8.974674880219029
D.Johnson,ATL,2003,20.791238877481177
D.Johnson,ATL,2003,4.01368925393566
D.Johnson,ATL,2003,10.674880219028063
D.Johnson,ATL,2003,2.2286105407255303
D.Johnson,ATL,2003,7.173169062286106
D.Johnson,ATL,2003,11.767282683093772
D.Johnson,ATL,2003,8.878850102669405
D.Johnson,ATL,2003,5.19917864476386
D.Johnson,ATL,2003,6.491444216290212
