player_norm,season,first_start_date,age_first_start,era_of_first
A.Brooks,2001,2001-09-09,17.489390828199863,2000s
A.Dalton,2011,2011-09-11,23.86858316221766,2010s
A.Davis,2014,2014-09-07,15.68788501026694,2010s
A.Luck,2012,2012-09-09,22.99247091033539,2010s
A.O'Connell,2023,2023-10-01,25.08145106091718,2020s
A.Richardson,2024,2024-09-08,29.270362765229294,2020s
A.Rodgers,2008,2008-09-08,8.960985626283367,2000s
A.Smith,2000,2000-09-10,13.626283367556468,2000s
A.Walter,2006,2006-09-17,10.08350444900753,2000s
A.Wright,2005,2005-09-11,5.01574264202601,2000s
B.Bortles,2014,2014-09-21,22.39835728952772,2010s
B.Gabbert,2011,2011-09-25,21.94387405886379,2010s
B.Hoyer,2014,2014-09-07,28.90075290896646,2010s
B.Hundley,2017,2017-10-15,24.334017796030118,2010s
B.Johnson,2000,2000-09-03,7.529089664613279,2000s
B.Mayfield,2018,2018-09-20,23.43600273785079,2010s
B.Nix,2024,2024-09-08,24.536618754277892,2020s
B.Osweiler,2016,2016-09-11,25.804243668720055,2010s
B.Purdy,2023,2023-09-10,23.704312114989733,2020s
B.Roethlisberger,2004,2004-09-19,22.55167693360712,2000s
B.Weeden,2012,2012-09-09,28.906228610540726,2010s
B.Young,2023,2023-09-10,22.127310061601644,2020s
C.Beathard,2017,2017-10-15,23.912388774811774,2010s
C.Henne,2009,2009-09-27,24.238193018480494,2000s
C.Keenum,2016,2016-09-12,28.569472963723477,2010s
C.Lemon,2007,2007-10-07,14.743326488706366,2000s
C.McCoy,2010,2010-10-17,24.11498973305955,2010s
C.Newton,2011,2011-09-11,22.33538672142368,2010s
C.Palmer,2004,2004-09-12,24.711841204654345,2000s
C.Stroud,2023,2023-09-10,21.935660506502394,2020s
C.Wentz,2016,2016-09-11,23.698836413415467,2010s
C.Williams,2024,2024-09-08,20.89801505817933,2020s
D.Anderson,2007,2007-09-09,9.995893223819301,2000s
D.Brees,2002,2002-09-08,23.64681724845996,2000s
D.Carr,2002,2002-09-08,11.449691991786448,2000s
D.Johnson,2003,2003-09-07,7.173169062286106,2000s
D.Jones,2019,2019-09-22,27.737166324435318,2010s
D.Kizer,2017,2017-09-10,21.686516084873375,2010s
D.Lock,2020,2020-09-14,23.84394250513347,2020s
D.Maye,2024,2024-10-13,22.12183436002738,2020s
D.Mills,2021,2021-09-19,22.913073237508556,2020s
D.Orlovsky,2008,2008-10-05,25.13347022587269,2000s
D.Prescott,2016,2016-09-11,23.121149897330596,2010s
D.Ridder,2023,2023-09-10,24.027378507871322,2020s
D.Stanton,2014,2014-09-14,30.354551676933607,2010s
D.Watson,2017,2017-09-10,29.522245037645447,2010s
E.Manning,2005,2005-09-11,24.687200547570157,2000s
E.Manuel,2013,2013-09-08,23.474332648870636,2010s
G.Minshew,2023,2023-09-17,27.33744010951403,2020s
G.Smith,2013,2013-09-08,22.913073237508556,2010s
J.Allen,2018,2018-09-16,28.687200547570157,2010s
J.Brissett,2017,2017-09-17,24.76659822039699,2010s
J.Burrow,2020,2020-09-13,23.759069130732374,2020s
J.Campbell,2007,2007-09-09,7.047227926078029,2000s
J.Cutler,2007,2007-09-09,24.36413415468857,2000s
J.Daniels,2024,2024-09-08,26.986995208761122,2020s
J.Dobbs,2023,2023-09-10,28.621492128678987,2020s
J.Fields,2021,2021-09-19,22.543463381245722,2020s
J.Flacco,2008,2008-09-07,23.641341546885695,2000s
J.Freeman,2009,2009-11-08,23.523613963039015,2000s
J.Garoppolo,2019,2019-09-08,27.849418206707735,2010s
J.Goff,2017,2017-09-10,22.90759753593429,2010s
J.Herbert,2020,2020-09-20,22.532511978097194,2020s
J.Hurts,2021,2021-09-12,23.09924709103354,2020s
J.Love,2023,2023-09-10,25.478439425051334,2020s
J.McCown,2004,2004-09-12,25.193702943189596,2000s
J.Miller,2002,2002-09-08,9.073237508555783,2000s
J.Plummer,2000,2000-09-03,0.8706365503080082,2000s
J.Rosen,2018,2018-09-30,21.634496919917865,2010s
J.Russell,2008,2008-09-08,5.092402464065708,2000s
J.Winston,2015,2015-09-13,21.683778234086244,2010s
K.Allen,2019,2019-09-22,27.4031485284052,2010s
K.Clemens,2013,2013-10-28,30.39561943874059,2010s
K.Cousins,2015,2015-09-13,27.066392881587955,2010s
K.Murray,2019,2019-09-08,20.810403832991103,2010s
K.Pickett,2022,2022-10-09,24.34223134839151,2020s
L.Jackson,2019,2019-09-08,22.143737166324435,2010s
M.Barkley,2016,2016-10-20,26.116358658453116,2010s
M.Cassel,2008,2008-09-07,26.310746064339494,2000s
M.Glennon,2013,2013-09-29,23.797399041752225,2010s
M.Jones,2021,2021-09-12,31.50444900752909,2020s
M.Mariota,2015,2015-09-13,21.869952087611225,2010s
