qb_name,team,season,age_at_first_start
A.Brooks,NO,2001,17.59
A.Dalton,CIN,2011,23.96
A.Davis,LA,2014,15.79
A.Feeley,MIA,2004,
A.Luck,IND,2012,23.09
A.O'Connell,LV,2023,25.12
A.Richardson,IND,2024,29.37
A.Rodgers,GB,2008,24.87
A.Smith,CIN,2000,-0.62
A.Van Pelt,BUF,2001,
A.Walter,LV,2006,10.16
A.Wright,BAL,2005,5.11
Aa.Rodgers,GB,2021,
B.Bollinger,NYJ,2005,
B.Bortles,JAX,2014,22.46
B.Favre,GB,1999,
B.Gabbert,JAX,2011,22.0
B.Gradkowski,TB,2006,
B.Griese,DEN,1999,
B.Hoyer,CLE,2014,29.0
B.Hundley,GB,2017,24.33
B.Johnson,WAS,1999,6.64
B.Leftwich,JAX,2003,
B.Mayfield,CLE,2018,23.5
B.Nix,DEN,2024,24.64
B.Osweiler,HOU,2016,25.9
B.Purdy,SF,2023,23.8
B.Quinn,CLE,2009,
B.Roethlisberger,PIT,2004,22.62
B.Tolliver,NO,1999,
B.Volek,TEN,2004,
B.Weeden,CLE,2012,29.0
B.Young,CAR,2023,22.22
C.Batch,DET,1999,
C.Beathard,SF,2017,23.91
C.Chandler,ATL,1999,
C.Frye,CLE,2006,
C.Henne,MIA,2009,24.29
C.Hutchinson,DAL,2002,
C.Kaepernick,SF,2013,
C.Keenum,LA,2016,28.66
C.Krenzel,CHI,2004,
C.Lemon,MIA,2007,14.77
C.McCoy,CLE,2010,24.11
C.McNown,CHI,2000,
C.Newton,CAR,2011,22.43
C.Painter,IND,2011,
C.Palmer,CIN,2004,24.8
C.Pennington,NYJ,2002,
C.Ponder,MIN,2011,
C.Simms,TB,2005,
C.Stroud,HOU,2023,22.03
C.Weinke,CAR,2001,
C.Wentz,PHI,2016,23.79
C.Whitehurst,TEN,2014,
C.Williams,CHI,2024,22.91
D. Brees,LAC,2003,
D. Culpepper,MIN,2003,
D.Anderson,CLE,2007,10.09
D.Bledsoe,NE,1999,
D.Brees,LAC,2002,23.75
D.Carr,HOU,2002,11.55
D.Culpepper,MIN,2000,
D.Flutie,BUF,1999,
D.Garrard,JAX,2006,
D.Huard,KC,2006,
D.Johnson,ATL,2003,7.63
D.Jones,NYG,2019,27.8
D.Kizer,CLE,2017,21.78
D.Lock,DEN,2020,23.93
D.Marino,MIA,1999,
D.Maye,NE,2024,22.13
D.McNabb,PHI,2000,
D.Mills,HOU,2021,22.98
D.Orlovsky,DET,2008,25.16
D.Pederson,PHI,1999,
D.Prescott,DAL,2016,23.21
D.Ridder,ATL,2023,24.12
D.Stanton,ARI,2014,30.44
D.Watson,HOU,2017,22.09
E.Grbac,KC,1999,
E.Manning,NYG,2005,24.78
E.Manuel,BUF,2013,23.58
G.Frerotte,MIA,2005,
G.Minshew,IND,2023,27.41
G.Minshew II,JAX,2019,
G.Smith,NYJ,2013,23.01
J. Fiedler,MIA,2002,
J. Miller,CHI,2001,
J.Allen,BUF,2018,26.06
J.Blake,CIN,1999,
J.Brissett,IND,2017,24.84
J.Burrow,CIN,2020,23.85
J.Campbell,WAS,2007,7.15
J.Clausen,CAR,2010,
J.Cutler,DEN,2007,24.46
J.Daniels,WAS,2024,27.09
J.Delhomme,CAR,2003,
J.Dobbs,ARI,2023,28.72
J.Fiedler,MIA,2000,
J.Fields,CHI,2021,22.61
J.Flacco,BAL,2008,23.75
J.Freeman,TB,2009,23.46
J.Garcia,SF,1999,
J.Garoppolo,SF,2019,27.95
J.George,MIN,1999,7.72
J.Goff,LA,2017,23.0
J.Harbaugh,LAC,1999,
J.Harrington,DET,2002,
J.Herbert,LAC,2020,22.6
J.Hurts,PHI,2021,23.19
J.Kitna,SEA,1999,
J.Locker,TEN,2012,
J.Losman,BUF,2005,
J.Love,GB,2023,24.95
J.Manziel,CLE,2015,
J.McCown,ARI,2004,25.28
J.Miller,CHI,2002,9.17
J.Plummer,ARI,1999,-0.02
J.Rosen,ARI,2018,21.68
J.Russell,LV,2008,10.01
J.Skelton,ARI,2012,
J.Winston,TB,2015,21.77
K. Collins,NYG,2001,
K. Holcomb,CLE,2003,
K.Allen,CAR,2019,19.62
K.Boller,BAL,2003,
K.Clemens,LA,2013,30.36
K.Collins,NYG,2000,
K.Cousins,WAS,2015,27.15
K.Graham,NYG,1999,
K.Kolb,ARI,2011,
K.Murray,ARI,2019,20.91
K.Orton,CHI,2005,
K.Pickett,PIT,2022,24.36
K.Stewart,PIT,1999,
K.Warner,LA,1999,
L.Jackson,BAL,2019,22.25
M. Brunell,JAX,2002,
M. Bulger,LA,2002,
M.Barkley,CHI,2016,26.1
M.Brunell,JAX,1999,
M.Bulger,LA,2003,
M.Cassel,NE,2008,26.41
M.Glennon,TB,2013,23.84
M.Hasselbeck,SEA,2001,
M.Jones,NE,2021,33.11
M.Leinart,ARI,2006,
M.Mariota,TEN,2015,21.96
M.Moore,MIA,2011,10.09
M.Rudolph,PIT,2019,24.25
M.Ryan,ATL,2008,23.41
M.Sanchez,NYJ,2009,22.93
M.Schaub,HOU,2007,26.31
M.Stafford,DET,2009,21.69
M.Trubisky,CHI,2017,23.15
M.Vick,ATL,2002,
N.Foles,PHI,2013,24.73
N.Mullens,SF,2018,23.57
P.Mahomes,KC,2018,23.08
P.Manning,IND,1999,
P.Ramsey,WAS,2003,
P.Rivers,LAC,2006,24.85
Q.Carter,DAL,2001,
R. Gannon,LV,2001,
R.Fitzpatrick,CIN,2008,25.89
R.Gannon,LV,1999,
R.Griffin,WAS,2012,22.67
R.Grossman,CHI,2006,
R.Johnson,BUF,2000,2.87
R.Leaf,LAC,2000,
R.Lucas,NYJ,1999,
R.Peete,CAR,2002,
R.Tannehill,MIA,2012,24.22
R.Wilson,SEA,2012,20.16
S.Beuerlein,CAR,1999,
S.Bradford,LA,2010,22.93
S.Darnold,NYJ,2018,
S.Hill,SF,2008,17.48
S.Howell,WAS,2023,23.08
S.King,TB,2000,
S.Matthews,CHI,1999,
S.McNair,TEN,1999,
S.Wallace,SEA,2008,
Sh.Hill,DET,2010,
T. Green,KC,2001,
T. Maddox,PIT,2003,
T.Aikman,DAL,1999,
T.Banks,BAL,1999,
T.Brady,NE,2001,24.2
T.Bridgewater,MIN,2014,21.93
T.Couch,CLE,1999,0.11
T.DeVito,NYG,2023,25.19
T.Dilfer,TB,1999,
T.Edwards,BUF,2007,11.17
T.Green,KC,2004,9.59
T.Heinicke,WAS,2021,28.59
T.Jackson,MIN,2007,21.36
T.Lawrence,JAX,2021,22.03
T.Maddox,PIT,2002,
T.Pryor,LV,2013,24.32
T.Rattay,SF,2004,
T.Romo,DAL,2006,
T.Siemian,DEN,2016,24.8
T.Tagovailoa,MIA,2020,22.62
T.Taylor,BUF,2015,20.62
T.Tebow,DEN,2011,24.17
T.Thigpen,KC,2008,
V.Testaverde,NYJ,2000,
V.Young,TEN,2006,
W.Levis,TEN,2024,25.3
Z.Wilson,NYJ,2021,22.2
