qb,qb_CPOE_avg,n
Drew Brees,4.933333333333333,3
Kirk Cousins,4.314285714285714,7
Ryan Fitzpatrick,3.6666666666666665,3
Geno Smith,3.4333333333333336,3
Joe Burrow,3.2600000000000002,5
Philip Rivers,3.1,3
Dak Prescott,2.985714285714286,7
Ryan Tannehill,2.6166666666666667,6
Matt Ryan,2.2600000000000002,5
Derek Carr,2.1714285714285713,7
Mitchell Trubisky,1.875,4
Justin Herbert,1.6600000000000001,5
Brock Purdy,1.5999999999999999,3
Jalen Hurts,1.5,5
Teddy Bridgewater,1.3333333333333333,3
Nick Mullens,1.2666666666666666,3
Tua Tagovailoa,1.06,5
Russell Wilson,0.9000000000000002,7
Jared Goff,0.8857142857142856,7
Daniel Jones,0.7999999999999999,6
Matthew Stafford,0.35714285714285704,7
Deshaun Watson,0.03333333333333329,6
Kyler Murray,0.0,6
Gardner Minshew,-0.025000000000000022,4
Jimmy Garoppolo,-0.14000000000000004,5
Mac Jones,-0.15,4
Patrick Mahomes,-0.2571428571428572,7
Tom Brady,-0.25999999999999995,5
Aaron Rodgers,-0.2666666666666666,6
Jacoby Brissett,-0.6249999999999999,4
Andy Dalton,-0.6666666666666666,6
Ben Roethlisberger,-0.6666666666666666,3
Sam Darnold,-0.6833333333333335,6
Marcus Mariota,-0.8333333333333334,3
Baker Mayfield,-1.1285714285714286,7
Josh Allen,-1.257142857142857,7
Carson Wentz,-1.3,5
Jameis Winston,-1.45,4
Lamar Jackson,-1.5571428571428572,7
Joe Flacco,-1.8499999999999999,6
Trevor Lawrence,-2.05,4
Drew Lock,-2.2666666666666666,3
Taylor Heinicke,-2.3666666666666667,3
Justin Fields,-2.425,4
Zach Wilson,-6.1000000000000005,3
