season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
1999,BUF,R.Johnson,1999_18_BUF_TEN,2000-01-08,R.Johnson,,,BUF,False
1999,DAL,T.Aikman,1999_18_DAL_MIN,2000-01-09,T.Aikman,DAL,1989.0,DAL,True
1999,DET,G.Frerotte,1999_18_DET_WAS,2000-01-08,G.Frerotte,WAS,1994.0,DET,False
1999,IND,P.Manning,1999_19_TEN_IND,2000-01-16,P.Manning,IND,1998.0,IND,True
1999,JAX,J.Fiedler,1999_19_MIA_JAX,2000-01-15,J.Fiedler,,,JAX,False
1999,LA,K.Warner,1999_19_MIN_STL,2000-01-16,K.Warner,,,LAR,False
1999,MIA,D.Marino,1999_18_MIA_SEA,2000-01-09,D.Marino,,,MIA,False
1999,MIN,J.George,1999_18_DAL_MIN,2000-01-09,J.George,,,MIN,False
1999,SEA,J.Kitna,1999_18_MIA_SEA,2000-01-09,J.Kitna,,,SEA,False
1999,TB,S.King,1999_19_WAS_TB,2000-01-15,S.King,TB,1999.0,TB,True
1999,TEN,S.McNair,1999_18_BUF_TEN,2000-01-08,S.McNair,TEN,1995.0,TEN,True
1999,WAS,B.Johnson,1999_18_DET_WAS,2000-01-08,B.Johnson,MIN,1992.0,WAS,False
2000,BAL,T.Dilfer,2000_18_DEN_BAL,2000-12-31,T.Dilfer,,,BAL,False
2000,DEN,G.Frerotte,2000_18_DEN_BAL,2000-12-31,G.Frerotte,WAS,1994.0,DEN,False
2000,IND,P.Manning,2000_18_IND_MIA,2000-12-30,P.Manning,IND,1998.0,IND,True
2000,LA,K.Warner,2000_18_STL_NO,2000-12-30,K.Warner,,,LAR,False
2000,LV,R.Gannon,2000_19_MIA_OAK,2001-01-06,R.Gannon,NE,1987.0,LV,False
2000,MIA,J.Fiedler,2000_18_IND_MIA,2000-12-30,J.Fiedler,,,MIA,False
2000,MIN,D.Culpepper,2000_19_NO_MIN,2001-01-06,D.Culpepper,MIN,1999.0,MIN,True
2000,NO,A.Brooks,2000_18_STL_NO,2000-12-30,A.Brooks,GB,1999.0,NO,False
2000,NYG,K.Collins,2000_19_PHI_NYG,2001-01-07,K.Collins,CAR,1995.0,NYG,False
2000,PHI,D.McNabb,2000_18_TB_PHI,2000-12-31,D.McNabb,PHI,1999.0,PHI,True
