season,team,qb_name,drafted_by_team,draft_team
2000,ARI,J.Plummer,True,ARI
2000,ATL,C.Chandler,False,
2000,BAL,T.Banks,False,LAR
2000,BUF,R.Johnson,False,
2000,CAR,S.Beuerlein,False,WAS
2000,CHI,C.McNown,False,
2000,CIN,A.Smith,False,SF
2000,CLE,T.Couch,False,
2000,DAL,T.Aikman,True,DAL
2000,DEN,B.Griese,True,DEN
2000,DET,C.Batch,True,DET
2000,GB,B.Favre,False,ATL
2000,IND,P.Manning,True,IND
2000,JAX,M.Brunell,False,GB
2000,KC,E.Grbac,False,SF
2000,LAR,K.Warner,False,
2000,LAC,R.Leaf,False,
2000,LV,R.Gannon,False,NE
2000,MIA,J.Fiedler,False,
2000,MIN,D.Culpepper,True,MIN
2000,NE,D.Bledsoe,True,NE
2000,NO,J.Blake,False,NYJ
2000,NYG,K.Collins,False,CAR
2000,NYJ,V.Testaverde,False,TB
2000,PHI,D.McNabb,True,PHI
2000,PIT,K.Stewart,False,
2000,SEA,J.Kitna,False,
2000,SF,J.Garcia,False,
2000,TB,S.King,True,TB
2000,TEN,S.McNair,True,TEN
2000,WAS,B.Johnson,False,MIN
2001,ARI,J.Plummer,True,ARI
2001,ATL,C.Chandler,False,
2001,BAL,E.Grbac,False,SF
2001,BUF,A.Van Pelt,True,BUF
2001,CAR,C.Weinke,True,CAR
2001,CHI,J. Miller,False,
2001,CIN,J.Kitna,False,
2001,CLE,T.Couch,False,
2001,DAL,Q.Carter,False,
2001,DEN,B.Griese,True,DEN
2001,DET,C.Batch,True,DET
2001,GB,B.Favre,False,ATL
2001,IND,P.Manning,True,IND
2001,JAX,M.Brunell,False,GB
2001,KC,T. Green,False,
2001,LAR,K.Warner,False,
2001,LAC,D.Flutie,False,
2001,LV,R. Gannon,False,
2001,MIA,J.Fiedler,False,
2001,MIN,D.Culpepper,True,MIN
2001,NE,T.Brady,True,NE
2001,NO,A.Brooks,False,GB
2001,NYG,K. Collins,False,
2001,NYJ,V.Testaverde,False,TB
2001,PHI,D.McNabb,True,PHI
2001,PIT,K.Stewart,False,
2001,SEA,M.Hasselbeck,False,GB
2001,SF,J.Garcia,False,
2001,TB,B.Johnson,False,MIN
2001,TEN,S.McNair,True,TEN
2001,WAS,T.Banks,False,LAR
2002,ARI,J.Plummer,True,ARI
2002,ATL,M.Vick,True,ATL
2002,BAL,J.Blake,False,NYJ
2002,BUF,D.Bledsoe,False,NE
2002,CAR,R.Peete,False,
2002,CHI,J.Miller,False,PIT
2002,CIN,J.Kitna,False,
2002,CLE,T.Couch,False,
2002,DAL,C.Hutchinson,True,DAL
2002,DEN,B.Griese,True,DEN
2002,DET,J.Harrington,True,DET
2002,GB,B.Favre,False,ATL
2002,HOU,D.Carr,False,LV
2002,IND,P.Manning,True,IND
2002,JAX,M. Brunell,False,
2002,KC,T. Green,False,
2002,LAR,M. Bulger,False,
2002,LAC,D.Brees,True,LAC
2002,LV,R. Gannon,False,
2002,MIA,J. Fiedler,False,
2002,MIN,D.Culpepper,True,MIN
2002,NE,T.Brady,True,NE
2002,NO,A.Brooks,False,GB
2002,NYG,K.Collins,False,CAR
2002,NYJ,C.Pennington,True,NYJ
2002,PHI,D.McNabb,True,PHI
2002,PIT,T.Maddox,False,
2002,SEA,M.Hasselbeck,False,GB
2002,SF,J.Garcia,False,
2002,TB,B.Johnson,False,MIN
2002,TEN,S.McNair,True,TEN
2002,WAS,S.Matthews,False,CHI
2003,ARI,J.Blake,False,NYJ
2003,ATL,D.Johnson,False,
2003,BAL,K.Boller,True,BAL
2003,BUF,D.Bledsoe,False,NE
2003,CAR,J.Delhomme,False,
2003,CHI,K.Stewart,False,
2003,CIN,J.Kitna,False,
2003,CLE,K. Holcomb,False,
2003,DAL,Q.Carter,False,
2003,DEN,J.Plummer,False,ARI
2003,DET,J.Harrington,True,DET
2003,GB,B.Favre,False,ATL
2003,HOU,D.Carr,False,LV
2003,IND,P.Manning,True,IND
2003,JAX,B.Leftwich,True,JAX
2003,KC,T. Green,False,
2003,LAR,M.Bulger,False,NO
2003,LAC,D. Brees,False,
2003,LV,R.Gannon,False,NE
2003,MIA,J.Fiedler,False,
2003,MIN,D. Culpepper,False,
2003,NE,T.Brady,True,NE
2003,NO,A.Brooks,False,GB
2003,NYG,K.Collins,False,CAR
2003,NYJ,C.Pennington,True,NYJ
2003,PHI,D.McNabb,True,PHI
2003,PIT,T. Maddox,False,
2003,SEA,M.Hasselbeck,False,GB
2003,SF,J.Garcia,False,
2003,TB,B.Johnson,False,MIN
2003,TEN,S.McNair,True,TEN
2003,WAS,P.Ramsey,True,WAS
2004,ARI,J.McCown,True,ARI
2004,ATL,M.Vick,True,ATL
2004,BAL,K.Boller,True,BAL
2004,BUF,D.Bledsoe,False,NE
2004,CAR,J.Delhomme,False,
2004,CHI,C.Krenzel,True,CHI
2004,CIN,C.Palmer,True,CIN
2004,CLE,J.Garcia,False,
2004,DAL,V.Testaverde,False,TB
2004,DEN,J.Plummer,False,ARI
2004,DET,J.Harrington,True,DET
2004,GB,B.Favre,False,ATL
2004,HOU,D.Carr,False,LV
2004,IND,P.Manning,True,IND
2004,JAX,B.Leftwich,True,JAX
2004,KC,T.Green,False,WAS
2004,LAR,M.Bulger,False,NO
2004,LAC,D.Brees,True,LAC
2004,LV,K.Collins,False,CAR
2004,MIA,A.Feeley,False,PHI
2004,MIN,D.Culpepper,True,MIN
2004,NE,T.Brady,True,NE
2004,NO,A.Brooks,False,GB
2004,NYG,K.Warner,False,
2004,NYJ,C.Pennington,True,NYJ
2004,PHI,D.McNabb,True,PHI
2004,PIT,B.Roethlisberger,True,PIT
2004,SEA,M.Hasselbeck,False,GB
2004,SF,T.Rattay,True,SF
2004,TB,B.Griese,False,DEN
2004,TEN,B.Volek,False,
2004,WAS,P.Ramsey,True,WAS
2005,ARI,K.Warner,False,
2005,ATL,M.Vick,True,ATL
2005,BAL,A.Wright,False,PIT
2005,BUF,J.Losman,True,BUF
2005,CAR,J.Delhomme,False,
2005,CHI,K.Orton,True,CHI
2005,CIN,C.Palmer,True,CIN
2005,CLE,T.Dilfer,False,
2005,DAL,D.Bledsoe,False,NE
2005,DEN,J.Plummer,False,ARI
