season,team,qb_name,starts,first_start_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2000,ARI,J.Plummer,14,2000-09-03,J.Plummer,ARI,1997.0,ARI,True
2000,ATL,C.Chandler,10,2000-09-03,C.Chandler,,,ATL,False
2000,BAL,T.Banks,8,2000-09-03,T.Banks,LAR,1996.0,BAL,False
2000,BUF,R.Johnson,9,2000-09-03,R.Johnson,,,BUF,False
2000,CAR,S.Beuerlein,16,2000-09-03,S.Beuerlein,WAS,1987.0,CAR,False
2000,CHI,C.McNown,8,2000-09-03,C.McNown,,,CHI,False
2000,CIN,A.Smith,10,2000-09-10,A.Smith,SF,2005.0,CIN,False
2000,CLE,T.Couch,7,2000-09-03,T.Couch,,,CLE,False
2000,DAL,T.Aikman,8,2000-09-24,T.Aikman,DAL,1989.0,DAL,True
2000,DEN,B.Griese,9,2000-09-04,B.Griese,DEN,1998.0,DEN,True
2000,DET,C.Batch,13,2000-09-10,C.Batch,DET,1998.0,DET,True
2000,GB,B.Favre,16,2000-09-03,B.Favre,ATL,1991.0,GB,False
2000,IND,P.Manning,16,2000-09-03,P.Manning,IND,1998.0,IND,True
2000,JAX,M.Brunell,16,2000-09-03,M.Brunell,GB,1993.0,JAX,False
2000,KC,E.Grbac,14,2000-09-03,E.Grbac,SF,1993.0,KC,False
2000,LA,K.Warner,11,2000-09-04,K.Warner,,,LAR,False
2000,LAC,R.Leaf,9,2000-09-03,R.Leaf,,,LAC,False
2000,LV,R.Gannon,16,2000-09-03,R.Gannon,NE,1987.0,LV,False
2000,MIA,J.Fiedler,13,2000-09-03,J.Fiedler,,,MIA,False
2000,MIN,D.Culpepper,15,2000-09-03,D.Culpepper,MIN,1999.0,MIN,True
2000,NE,D.Bledsoe,15,2000-09-03,D.Bledsoe,NE,1993.0,NE,True
2000,NO,J.Blake,10,2000-09-03,J.Blake,NYJ,1992.0,NO,False
2000,NYG,K.Collins,16,2000-09-03,K.Collins,CAR,1995.0,NYG,False
2000,NYJ,V.Testaverde,15,2000-09-03,V.Testaverde,TB,1987.0,NYJ,False
2000,PHI,D.McNabb,16,2000-09-03,D.McNabb,PHI,1999.0,PHI,True
2000,PIT,K.Stewart,12,2000-10-01,K.Stewart,,,PIT,False
2000,SEA,J.Kitna,14,2000-09-03,J.Kitna,,,SEA,False
2000,SF,J.Garcia,15,2000-09-03,J.Garcia,,,SF,False
2000,TB,S.King,16,2000-09-03,S.King,TB,1999.0,TB,True
2000,TEN,S.McNair,15,2000-09-03,S.McNair,TEN,1995.0,TEN,True
2000,WAS,B.Johnson,11,2000-09-03,B.Johnson,MIN,1992.0,WAS,False
2001,ARI,J.Plummer,16,2001-09-23,J.Plummer,ARI,1997.0,ARI,True
2001,ATL,C.Chandler,11,2001-09-09,C.Chandler,,,ATL,False
2001,BAL,E.Grbac,13,2001-09-09,E.Grbac,SF,1993.0,BAL,False
2001,BUF,A.Van Pelt,8,2001-10-07,A.Van Pelt,BUF,1993.0,BUF,True
2001,CAR,C.Weinke,15,2001-09-09,C.Weinke,CAR,2001.0,CAR,True
2001,CHI,J. Miller,13,2001-09-23,J. Miller,,,CHI,False
2001,CIN,J.Kitna,16,2001-09-09,J.Kitna,,,CIN,False
2001,CLE,T.Couch,16,2001-09-09,T.Couch,,,CLE,False
2001,DAL,Q.Carter,7,2001-09-09,Q.Carter,,,DAL,False
2001,DEN,B.Griese,14,2001-09-10,B.Griese,DEN,1998.0,DEN,True
2001,DET,C.Batch,8,2001-09-09,C.Batch,DET,1998.0,DET,True
2001,GB,B.Favre,16,2001-09-09,B.Favre,ATL,1991.0,GB,False
2001,IND,P.Manning,16,2001-09-09,P.Manning,IND,1998.0,IND,True
2001,JAX,M.Brunell,14,2001-09-09,M.Brunell,GB,1993.0,JAX,False
2001,KC,T. Green,16,2001-09-09,T. Green,,,KC,False
2001,LA,K.Warner,16,2001-09-09,K.Warner,,,LAR,False
2001,LAC,D.Flutie,15,2001-09-09,D.Flutie,,,LAC,False
2001,LV,R. Gannon,16,2001-09-09,R. Gannon,,,LV,False
2001,MIA,J.Fiedler,16,2001-09-09,J.Fiedler,,,MIA,False
2001,MIN,D.Culpepper,11,2001-09-09,D.Culpepper,MIN,1999.0,MIN,True
2001,NE,T.Brady,14,2001-09-30,T.Brady,NE,2000.0,NE,True
2001,NO,A.Brooks,16,2001-09-09,A.Brooks,GB,1999.0,NO,False
2001,NYG,K. Collins,13,2001-09-23,K. Collins,,,NYG,False
2001,NYJ,V.Testaverde,15,2001-09-09,V.Testaverde,TB,1987.0,NYJ,False
2001,PHI,D.McNabb,15,2001-09-09,D.McNabb,PHI,1999.0,PHI,True
2001,PIT,K.Stewart,16,2001-09-09,K.Stewart,,,PIT,False
2001,SEA,M.Hasselbeck,11,2001-09-09,M.Hasselbeck,GB,1998.0,SEA,False
2001,SF,J.Garcia,16,2001-09-09,J.Garcia,,,SF,False
2001,TB,B.Johnson,15,2001-09-09,B.Johnson,MIN,1992.0,TB,False
2001,TEN,S.McNair,14,2001-10-07,S.McNair,TEN,1995.0,TEN,True
2001,WAS,T.Banks,13,2001-09-30,T.Banks,LAR,1996.0,WAS,False
2002,ARI,J.Plummer,11,2002-09-08,J.Plummer,ARI,1997.0,ARI,True
2002,ATL,M.Vick,14,2002-09-08,M.Vick,ATL,2001.0,ATL,True
2002,BAL,J.Blake,10,2002-10-27,J.Blake,NYJ,1992.0,BAL,False
2002,BUF,D.Bledsoe,12,2002-09-08,D.Bledsoe,NE,1993.0,BUF,False
2002,CAR,R.Peete,14,2002-09-08,R.Peete,,,CAR,False
2002,CHI,J.Miller,9,2002-09-08,J.Miller,PIT,1994.0,CHI,False
2002,CIN,J.Kitna,13,2002-09-22,J.Kitna,,,CIN,False
2002,CLE,T.Couch,13,2002-09-22,T.Couch,,,CLE,False
2002,DAL,C.Hutchinson,9,2002-10-27,C.Hutchinson,DAL,2002.0,DAL,True
2002,DEN,B.Griese,6,2002-09-08,B.Griese,DEN,1998.0,DEN,True
2002,DET,J.Harrington,11,2002-09-22,J.Harrington,DET,2002.0,DET,True
2002,GB,B.Favre,15,2002-09-08,B.Favre,ATL,1991.0,GB,False
2002,HOU,D.Carr,16,2002-09-08,D.Carr,LV,2014.0,HOU,False
2002,IND,P.Manning,16,2002-09-08,P.Manning,IND,1998.0,IND,True
2002,JAX,M. Brunell,13,2002-09-15,M. Brunell,,,JAX,False
2002,KC,T. Green,16,2002-09-08,T. Green,,,KC,False
2002,LA,M. Bulger,6,2002-10-13,M. Bulger,,,LAR,False
2002,LAC,D.Brees,14,2002-09-08,D.Brees,LAC,2001.0,LAC,True
2002,LV,R. Gannon,10,2002-10-27,R. Gannon,,,LV,False
2002,MIA,J. Fiedler,7,2002-09-29,J. Fiedler,,,MIA,False
2002,MIN,D.Culpepper,16,2002-09-08,D.Culpepper,MIN,1999.0,MIN,True
2002,NE,T.Brady,16,2002-09-09,T.Brady,NE,2000.0,NE,True
2002,NO,A.Brooks,16,2002-09-08,A.Brooks,GB,1999.0,NO,False
2002,NYG,K.Collins,16,2002-09-05,K.Collins,CAR,1995.0,NYG,False
