season,team,qb_name,game_id,player_norm,draft_team,draft_season,team_canon,drafted_by_team
1999,LA,K.Warner,1999_21_STL_TEN,K.Warner,,,LAR,False
1999,TEN,S.McNair,1999_21_STL_TEN,S.McNair,TEN,1995.0,TEN,True
2000,BAL,T.Dilfer,2000_21_BAL_NYG,T.Dilfer,,,BAL,False
2000,NYG,K.Collins,2000_21_BAL_NYG,K.Collins,CAR,1995.0,NYG,False
2001,LA,K.Warner,2001_21_STL_NE,K.Warner,,,LAR,False
2001,NE,T.Brady,2001_21_STL_NE,T.Brady,NE,2000.0,NE,True
2002,LV,R.Gannon,2002_21_OAK_TB,R.Gannon,NE,1987.0,LV,False
2002,TB,B.Johnson,2002_21_OAK_TB,B.Johnson,MIN,1992.0,TB,False
2003,CAR,J.Delhomme,2003_21_CAR_NE,J.Delhomme,,,CAR,False
2003,NE,T.Brady,2003_21_CAR_NE,T.Brady,NE,2000.0,NE,True
2004,NE,T.Brady,2004_21_NE_PHI,T.Brady,NE,2000.0,NE,True
2004,PHI,D.McNabb,2004_21_NE_PHI,D.McNabb,PHI,1999.0,PHI,True
2005,PIT,B.Roethlisberger,2005_21_SEA_PIT,B.Roethlisberger,PIT,2004.0,PIT,True
2005,SEA,M.Hasselbeck,2005_21_SEA_PIT,M.Hasselbeck,GB,1998.0,SEA,False
2006,CHI,R.Grossman,2006_21_IND_CHI,R.Grossman,CHI,2003.0,CHI,True
2006,IND,P.Manning,2006_21_IND_CHI,P.Manning,IND,1998.0,IND,True
2007,NE,T.Brady,2007_21_NYG_NE,T.Brady,NE,2000.0,NE,True
2007,NYG,E.Manning,2007_21_NYG_NE,E.Manning,LAC,2004.0,NYG,False
2008,ARI,K.Warner,2008_21_PIT_ARI,K.Warner,,,ARI,False
2008,PIT,B.Roethlisberger,2008_21_PIT_ARI,B.Roethlisberger,PIT,2004.0,PIT,True
2009,IND,P.Manning,2009_21_NO_IND,P.Manning,IND,1998.0,IND,True
2009,NO,D.Brees,2009_21_NO_IND,D.Brees,LAC,2001.0,NO,False
2010,GB,A.Rodgers,2010_21_PIT_GB,A.Rodgers,GB,2005.0,GB,True
2010,PIT,B.Roethlisberger,2010_21_PIT_GB,B.Roethlisberger,PIT,2004.0,PIT,True
2011,NE,T.Brady,2011_21_NYG_NE,T.Brady,NE,2000.0,NE,True
2011,NYG,E.Manning,2011_21_NYG_NE,E.Manning,LAC,2004.0,NYG,False
2012,BAL,J.Flacco,2012_21_BAL_SF,J.Flacco,BAL,2008.0,BAL,True
2012,SF,C.Kaepernick,2012_21_BAL_SF,C.Kaepernick,,,SF,False
2013,DEN,P.Manning,2013_21_SEA_DEN,P.Manning,IND,1998.0,DEN,False
2013,SEA,R.Wilson,2013_21_SEA_DEN,R.Wilson,SEA,2012.0,SEA,True
2014,NE,T.Brady,2014_21_NE_SEA,T.Brady,NE,2000.0,NE,True
2014,SEA,R.Wilson,2014_21_NE_SEA,R.Wilson,SEA,2012.0,SEA,True
2015,CAR,C.Newton,2015_21_CAR_DEN,C.Newton,CAR,2011.0,CAR,True
2015,DEN,P.Manning,2015_21_CAR_DEN,P.Manning,IND,1998.0,DEN,False
2016,ATL,M.Ryan,2016_21_NE_ATL,M.Ryan,ATL,2008.0,ATL,True
2016,NE,T.Brady,2016_21_NE_ATL,T.Brady,NE,2000.0,NE,True
2017,NE,T.Brady,2017_21_PHI_NE,T.Brady,NE,2000.0,NE,True
2017,PHI,N.Foles,2017_21_PHI_NE,N.Foles,PHI,2012.0,PHI,True
2018,LA,J.Goff,2018_21_NE_LA,J.Goff,LAR,2016.0,LAR,True
2018,NE,T.Brady,2018_21_NE_LA,T.Brady,NE,2000.0,NE,True
2019,KC,P.Mahomes,2019_21_SF_KC,P.Mahomes,KC,2017.0,KC,True
2019,SF,J.Garoppolo,2019_21_SF_KC,J.Garoppolo,NE,2014.0,SF,False
2020,KC,P.Mahomes,2020_21_KC_TB,P.Mahomes,KC,2017.0,KC,True
2020,TB,T.Brady,2020_21_KC_TB,T.Brady,NE,2000.0,TB,False
2021,CIN,J.Burrow,2021_22_LA_CIN,J.Burrow,CIN,2020.0,CIN,True
2021,LA,M.Stafford,2021_22_LA_CIN,M.Stafford,DET,2009.0,LAR,False
2022,KC,P.Mahomes,2022_22_KC_PHI,P.Mahomes,KC,2017.0,KC,True
2022,PHI,J.Hurts,2022_22_KC_PHI,J.Hurts,PHI,2020.0,PHI,True
2023,KC,P.Mahomes,2023_22_SF_KC,P.Mahomes,KC,2017.0,KC,True
2023,SF,B.Purdy,2023_22_SF_KC,B.Purdy,SF,2022.0,SF,True
2024,KC,P.Mahomes,2024_22_KC_PHI,P.Mahomes,KC,2017.0,KC,True
2024,PHI,J.Hurts,2024_22_KC_PHI,J.Hurts,PHI,2020.0,PHI,True
