team,qb_name,first_start_season,end_run_season,first_bench_season,tenure_seasons,gap_to_bench,drafted_by_team,draft_team,era_first_start
ARI,J.Plummer,2000,2002,2003.0,3,3.0,True,ARI,2000s
ARI,J.Blake,2003,2003,2004.0,1,1.0,False,NYJ,2000s
ARI,J.McCown,2004,2004,2005.0,1,1.0,True,ARI,2000s
ARI,K.Warner,2005,2005,2006.0,1,1.0,False,,2000s
ARI,M.Leinart,2006,2006,2007.0,1,1.0,True,ARI,2000s
ARI,D.Anderson,2010,2010,2011.0,1,1.0,False,BAL,2010s
ARI,K.Kolb,2011,2011,2012.0,1,1.0,False,PHI,2010s
ARI,J.Skelton,2012,2012,2013.0,1,1.0,True,ARI,2010s
ARI,C.Palmer,2013,2013,2014.0,1,1.0,False,CIN,2010s
ARI,D.Stanton,2014,2014,2015.0,1,1.0,False,DET,2010s
ARI,J.Rosen,2018,2018,2019.0,1,1.0,True,ARI,2010s
ARI,K.Murray,2019,2022,2023.0,4,4.0,True,ARI,2010s
ARI,J.Dobbs,2023,2023,2024.0,1,1.0,False,PIT,2020s
ATL,C.Chandler,2000,2001,2002.0,2,2.0,False,,2000s
ATL,M.Vick,2002,2002,2003.0,1,1.0,True,ATL,2000s
ATL,D.Johnson,2003,2003,2004.0,1,1.0,False,,2000s
ATL,J.Harrington,2007,2007,2008.0,1,1.0,False,DET,2000s
ATL,M.Ryan,2008,2021,2022.0,14,14.0,True,ATL,2000s
ATL,M.Mariota,2022,2022,2023.0,1,1.0,False,TEN,2020s
ATL,D.Ridder,2023,2023,2024.0,1,1.0,True,ATL,2020s
ATL,K.Cousins,2024,2024,,1,,False,WAS,2020s
BAL,T.Banks,2000,2000,2001.0,1,1.0,False,LAR,2000s
BAL,E.Grbac,2001,2001,2002.0,1,1.0,False,SF,2000s
BAL,J.Blake,2002,2002,2003.0,1,1.0,False,NYJ,2000s
BAL,K.Boller,2003,2004,2005.0,2,2.0,True,BAL,2000s
BAL,A.Wright,2005,2005,2006.0,1,1.0,False,PIT,2000s
BAL,S.McNair,2006,2006,2007.0,1,1.0,False,TEN,2000s
BAL,J.Flacco,2008,2018,2019.0,11,11.0,True,BAL,2000s
BAL,L.Jackson,2019,2024,,6,,True,BAL,2010s
BUF,R.Johnson,2000,2000,2001.0,1,1.0,False,,2000s
BUF,A.Van Pelt,2001,2001,2002.0,1,1.0,True,BUF,2000s
BUF,D.Bledsoe,2002,2004,2005.0,3,3.0,False,NE,2000s
BUF,J.Losman,2005,2006,2007.0,2,2.0,True,BUF,2000s
BUF,T.Edwards,2007,2008,2009.0,2,2.0,True,BUF,2000s
BUF,R.Fitzpatrick,2009,2012,2013.0,4,4.0,False,LAR,2000s
BUF,E.Manuel,2013,2013,2014.0,1,1.0,True,BUF,2010s
BUF,K.Orton,2014,2014,2015.0,1,1.0,False,CHI,2010s
BUF,T.Taylor,2015,2017,2018.0,3,3.0,False,BAL,2010s
BUF,J.Allen,2018,2024,,7,,True,BUF,2010s
CAR,S.Beuerlein,2000,2000,2001.0,1,1.0,False,WAS,2000s
CAR,C.Weinke,2001,2001,2002.0,1,1.0,True,CAR,2000s
CAR,R.Peete,2002,2002,2003.0,1,1.0,False,,2000s
CAR,J.Delhomme,2003,2006,2007.0,4,4.0,False,,2000s
CAR,D.Carr,2007,2007,2008.0,1,1.0,False,LV,2000s
CAR,J.Clausen,2010,2010,2011.0,1,1.0,False,,2010s
CAR,C.Newton,2011,2018,2019.0,8,8.0,True,CAR,2010s
CAR,K.Allen,2019,2019,2020.0,1,1.0,False,,2010s
CAR,T.Bridgewater,2020,2020,2021.0,1,1.0,False,MIN,2020s
CAR,S.Darnold,2021,2021,2022.0,1,1.0,False,,2020s
CAR,B.Mayfield,2022,2022,2023.0,1,1.0,False,CLE,2020s
CAR,B.Young,2023,2024,,2,,True,CAR,2020s
CHI,C.McNown,2000,2000,2001.0,1,1.0,False,,2000s
CHI,J. Miller,2001,2001,2002.0,1,1.0,False,,2000s
CHI,J.Miller,2002,2002,2003.0,1,1.0,False,PIT,2000s
CHI,K.Stewart,2003,2003,2004.0,1,1.0,False,,2000s
CHI,C.Krenzel,2004,2004,2005.0,1,1.0,True,CHI,2000s
CHI,K.Orton,2005,2005,2006.0,1,1.0,True,CHI,2000s
CHI,R.Grossman,2006,2007,2008.0,2,2.0,True,CHI,2000s
CHI,J.Cutler,2009,2015,2016.0,7,7.0,False,DEN,2000s
CHI,M.Barkley,2016,2016,2017.0,1,1.0,False,PHI,2010s
CHI,M.Trubisky,2017,2020,2021.0,4,4.0,True,CHI,2010s
CHI,J.Fields,2021,2023,2024.0,3,3.0,True,CHI,2020s
CHI,C.Williams,2024,2024,,1,,True,CHI,2020s
CIN,A.Smith,2000,2000,2001.0,1,1.0,False,SF,2000s
CIN,J.Kitna,2001,2003,2004.0,3,3.0,False,,2000s
CIN,C.Palmer,2004,2007,2008.0,4,4.0,True,CIN,2000s
CIN,R.Fitzpatrick,2008,2008,2009.0,1,1.0,False,LAR,2000s
CIN,A.Dalton,2011,2019,2020.0,9,9.0,True,CIN,2010s
CIN,J.Burrow,2020,2024,,5,,True,CIN,2020s
CLE,T.Couch,2000,2002,2003.0,3,3.0,False,,2000s
CLE,K. Holcomb,2003,2003,2004.0,1,1.0,False,,2000s
CLE,J.Garcia,2004,2004,2005.0,1,1.0,False,,2000s
CLE,T.Dilfer,2005,2005,2006.0,1,1.0,False,,2000s
CLE,C.Frye,2006,2006,2007.0,1,1.0,False,,2000s
CLE,D.Anderson,2007,2008,2009.0,2,2.0,False,BAL,2000s
CLE,B.Quinn,2009,2009,2010.0,1,1.0,True,CLE,2000s
CLE,C.McCoy,2010,2011,2012.0,2,2.0,True,CLE,2010s
CLE,B.Weeden,2012,2013,2014.0,2,2.0,True,CLE,2010s
CLE,B.Hoyer,2014,2014,2015.0,1,1.0,False,,2010s
CLE,J.Manziel,2015,2015,2016.0,1,1.0,True,CLE,2010s
CLE,R.Griffin,2016,2016,2017.0,1,1.0,False,WAS,2010s
CLE,D.Kizer,2017,2017,2018.0,1,1.0,True,CLE,2010s
CLE,B.Mayfield,2018,2021,2022.0,4,4.0,True,CLE,2010s
CLE,J.Brissett,2022,2022,2023.0,1,1.0,False,NE,2020s
CLE,D.Watson,2023,2023,2024.0,1,1.0,False,HOU,2020s
CLE,J.Winston,2024,2024,,1,,False,TB,2020s
DAL,T.Aikman,2000,2000,2001.0,1,1.0,True,DAL,2000s
DAL,Q.Carter,2001,2001,2002.0,1,1.0,False,,2000s
DAL,C.Hutchinson,2002,2002,2003.0,1,1.0,True,DAL,2000s
DAL,V.Testaverde,2004,2004,2005.0,1,1.0,False,TB,2000s
DAL,D.Bledsoe,2005,2005,2006.0,1,1.0,False,NE,2000s
DAL,T.Romo,2006,2009,2010.0,4,4.0,False,,2000s
DAL,J.Kitna,2010,2010,2011.0,1,1.0,False,,2010s
DAL,M.Cassel,2015,2015,2016.0,1,1.0,False,NE,2010s
DAL,D.Prescott,2016,2019,2020.0,4,4.0,True,DAL,2010s
DAL,A.Dalton,2020,2020,2021.0,1,1.0,False,CIN,2020s
DEN,B.Griese,2000,2002,2003.0,3,3.0,True,DEN,2000s
DEN,J.Plummer,2003,2006,2007.0,4,4.0,False,ARI,2000s
DEN,J.Cutler,2007,2008,2009.0,2,2.0,True,DEN,2000s
DEN,K.Orton,2009,2010,2011.0,2,2.0,False,CHI,2000s
DEN,T.Tebow,2011,2011,2012.0,1,1.0,True,DEN,2010s
DEN,P.Manning,2012,2015,2016.0,4,4.0,False,IND,2010s
DEN,T.Siemian,2016,2017,2018.0,2,2.0,True,DEN,2010s
DEN,C.Keenum,2018,2018,2019.0,1,1.0,False,,2010s
DEN,J.Flacco,2019,2019,2020.0,1,1.0,False,BAL,2010s
DEN,D.Lock,2020,2020,2021.0,1,1.0,True,DEN,2020s
DEN,T.Bridgewater,2021,2021,2022.0,1,1.0,False,MIN,2020s
DEN,R.Wilson,2022,2023,2024.0,2,2.0,False,SEA,2020s
DEN,B.Nix,2024,2024,,1,,True,DEN,2020s
DET,C.Batch,2000,2001,2002.0,2,2.0,True,DET,2000s
DET,J.Harrington,2002,2005,2006.0,4,4.0,True,DET,2000s
DET,J.Kitna,2006,2007,2008.0,2,2.0,False,,2000s
DET,D.Orlovsky,2008,2008,2009.0,1,1.0,True,DET,2000s
DET,M.Stafford,2009,2009,2010.0,1,1.0,True,DET,2000s
DET,Sh.Hill,2010,2010,2011.0,1,1.0,False,,2010s
DET,J.Goff,2021,2024,,4,,False,LAR,2020s
GB,B.Favre,2000,2007,2008.0,8,8.0,False,ATL,2000s
GB,A.Rodgers,2008,2016,2017.0,9,9.0,True,GB,2000s
GB,B.Hundley,2017,2017,2018.0,1,1.0,True,GB,2010s
GB,Aa.Rodgers,2021,2021,2022.0,1,1.0,True,GB,2020s
GB,J.Love,2023,2024,,2,,True,GB,2020s
HOU,D.Carr,2002,2006,2007.0,5,5.0,False,LV,2000s
HOU,M.Schaub,2007,2013,2014.0,7,7.0,False,ATL,2000s
HOU,R.Fitzpatrick,2014,2014,2015.0,1,1.0,False,LAR,2010s
HOU,B.Hoyer,2015,2015,2016.0,1,1.0,False,,2010s
HOU,B.Osweiler,2016,2016,2017.0,1,1.0,False,DEN,2010s
HOU,D.Watson,2017,2020,2021.0,4,4.0,True,HOU,2010s
HOU,D.Mills,2021,2022,2023.0,2,2.0,True,HOU,2020s
HOU,C.Stroud,2023,2024,,2,,True,HOU,2020s
IND,P.Manning,2000,2010,2011.0,11,11.0,True,IND,2000s
IND,C.Painter,2011,2011,2012.0,1,1.0,False,,2010s
IND,A.Luck,2012,2014,2015.0,3,3.0,True,IND,2010s
IND,M.Hasselbeck,2015,2015,2016.0,1,1.0,False,GB,2010s
IND,J.Brissett,2017,2017,2018.0,1,1.0,False,NE,2010s
IND,P.Rivers,2020,2020,2021.0,1,1.0,False,NYG,2020s
IND,C.Wentz,2021,2021,2022.0,1,1.0,False,PHI,2020s
IND,M.Ryan,2022,2022,2023.0,1,1.0,False,ATL,2020s
IND,G.Minshew,2023,2023,2024.0,1,1.0,False,JAX,2020s
IND,A.Richardson,2024,2024,,1,,True,IND,2020s
JAX,M.Brunell,2000,2001,2002.0,2,2.0,False,GB,2000s
JAX,M. Brunell,2002,2002,2003.0,1,1.0,False,,2000s
JAX,B.Leftwich,2003,2005,2006.0,3,3.0,True,JAX,2000s
JAX,D.Garrard,2006,2010,2011.0,5,5.0,True,JAX,2000s
JAX,B.Gabbert,2011,2012,2013.0,2,2.0,True,JAX,2010s
JAX,C.Henne,2013,2013,2014.0,1,1.0,False,MIA,2010s
JAX,B.Bortles,2014,2018,2019.0,5,5.0,True,JAX,2010s
JAX,G.Minshew II,2019,2020,2021.0,2,2.0,False,,2010s
JAX,T.Lawrence,2021,2024,,4,,True,JAX,2020s
KC,E.Grbac,2000,2000,2001.0,1,1.0,False,SF,2000s
KC,T. Green,2001,2003,2004.0,3,3.0,False,,2000s
KC,T.Green,2004,2005,2006.0,2,2.0,False,WAS,2000s
KC,D.Huard,2006,2007,2008.0,2,2.0,False,,2000s
KC,T.Thigpen,2008,2008,2009.0,1,1.0,False,,2000s
KC,M.Cassel,2009,2012,2013.0,4,4.0,False,NE,2000s
KC,A.Smith,2013,2017,2018.0,5,5.0,False,SF,2010s
KC,P.Mahomes,2018,2024,,7,,True,KC,2010s
LAC,R.Leaf,2000,2000,2001.0,1,1.0,False,,2000s
LAC,D.Flutie,2001,2001,2002.0,1,1.0,False,,2000s
LAC,D.Brees,2002,2002,2003.0,1,1.0,True,LAC,2000s
LAC,D. Brees,2003,2003,2004.0,1,1.0,False,,2000s
LAC,P.Rivers,2006,2019,2020.0,14,14.0,False,NYG,2000s
LAC,J.Herbert,2020,2024,,5,,True,LAC,2020s
LAR,K.Warner,2000,2001,2002.0,2,2.0,False,,2000s
LAR,M. Bulger,2002,2002,2003.0,1,1.0,False,,2000s
LAR,M.Bulger,2003,2009,2010.0,7,7.0,False,NO,2000s
LAR,S.Bradford,2010,2012,2013.0,3,3.0,True,LAR,2010s
LAR,K.Clemens,2013,2013,2014.0,1,1.0,False,NYJ,2010s
LAR,A.Davis,2014,2014,2015.0,1,1.0,False,,2010s
LAR,N.Foles,2015,2015,2016.0,1,1.0,False,PHI,2010s
LAR,C.Keenum,2016,2016,2017.0,1,1.0,False,,2010s
LAR,J.Goff,2017,2020,2021.0,4,4.0,True,LAR,2010s
LAR,M.Stafford,2021,2024,,4,,False,DET,2020s
LV,R.Gannon,2000,2000,2001.0,1,1.0,False,NE,2000s
LV,R. Gannon,2001,2002,2003.0,2,2.0,False,,2000s
LV,K.Collins,2004,2005,2006.0,2,2.0,False,CAR,2000s
LV,A.Walter,2006,2006,2007.0,1,1.0,True,LV,2000s
LV,J.McCown,2007,2007,2008.0,1,1.0,False,ARI,2000s
LV,J.Russell,2008,2009,2010.0,2,2.0,True,LV,2000s
LV,J.Campbell,2010,2010,2011.0,1,1.0,False,WAS,2010s
LV,C.Palmer,2011,2012,2013.0,2,2.0,False,CIN,2010s
LV,T.Pryor,2013,2013,2014.0,1,1.0,False,,2010s
LV,D.Carr,2014,2022,2023.0,9,9.0,True,LV,2010s
LV,A.O'Connell,2023,2023,2024.0,1,1.0,True,LV,2020s
LV,G.Minshew,2024,2024,,1,,False,JAX,2020s
MIA,J.Fiedler,2000,2001,2002.0,2,2.0,False,,2000s
MIA,J. Fiedler,2002,2002,2003.0,1,1.0,False,,2000s
MIA,A.Feeley,2004,2004,2005.0,1,1.0,False,PHI,2000s
MIA,G.Frerotte,2005,2005,2006.0,1,1.0,False,WAS,2000s
MIA,J.Harrington,2006,2006,2007.0,1,1.0,False,DET,2000s
MIA,C.Lemon,2007,2007,2008.0,1,1.0,False,,2000s
MIA,C.Pennington,2008,2008,2009.0,1,1.0,False,NYJ,2000s
MIA,C.Henne,2009,2010,2011.0,2,2.0,True,MIA,2000s
MIA,M.Moore,2011,2011,2012.0,1,1.0,False,,2010s
MIA,R.Tannehill,2012,2016,2017.0,5,5.0,True,MIA,2010s
MIA,J.Cutler,2017,2017,2018.0,1,1.0,False,DEN,2010s
MIA,R.Fitzpatrick,2019,2019,2020.0,1,1.0,False,LAR,2010s
MIA,T.Tagovailoa,2020,2024,,5,,True,MIA,2020s
MIN,D.Culpepper,2000,2002,2003.0,3,3.0,True,MIN,2000s
MIN,D. Culpepper,2003,2003,2004.0,1,1.0,False,,2000s
MIN,B.Johnson,2005,2006,2007.0,2,2.0,True,MIN,2000s
MIN,T.Jackson,2007,2007,2008.0,1,1.0,True,MIN,2000s
MIN,G.Frerotte,2008,2008,2009.0,1,1.0,False,WAS,2000s
