team,qb_name,first_season,last_season,tenure_len,first_bench_season,replaced_by,age_at_first_start,age_at_first_bench
ARI,J.Plummer,2000,2002,3,2003.0,J.Blake,25.82,28.82
ARI,J.Blake,2003,2003,1,2004.0,J.McCown,32.86,33.86
ARI,J.McCown,2004,2004,1,2005.0,K.Warner,25.28,26.28
ARI,K.Warner,2005,2005,1,2006.0,M.Leinart,34.32,35.32
ARI,M.Leinart,2006,2006,1,2007.0,K.Warner,23.43,24.43
ARI,K.Warner,2007,2009,3,2010.0,D.Anderson,34.32,39.32
ARI,D.Anderson,2010,2010,1,2011.0,K.Kolb,27.33,28.33
ARI,K.Kolb,2011,2011,1,2012.0,J.Skelton,27.14,28.14
ARI,J.Skelton,2012,2012,1,2013.0,C.Palmer,24.58,25.58
ARI,C.Palmer,2013,2013,1,2014.0,D.Stanton,33.8,34.8
ARI,D.Stanton,2014,2014,1,2015.0,C.Palmer,30.44,31.44
ARI,C.Palmer,2015,2017,3,2018.0,J.Rosen,33.8,38.8
ARI,J.Rosen,2018,2018,1,2019.0,K.Murray,21.68,22.67
ARI,K.Murray,2019,2022,4,2023.0,J.Dobbs,22.19,26.19
ARI,J.Dobbs,2023,2023,1,2024.0,K.Murray,28.72,29.72
ARI,K.Murray,2024,2024,1,,,22.19,
ATL,C.Chandler,2000,2001,2,2002.0,M.Vick,35.01,37.01
ATL,M.Vick,2002,2002,1,2003.0,D.Johnson,22.3,23.3
ATL,D.Johnson,2003,2003,1,2004.0,M.Vick,25.97,26.97
ATL,M.Vick,2004,2006,3,2007.0,J.Harrington,22.3,27.3
ATL,J.Harrington,2007,2007,1,2008.0,M.Ryan,28.98,29.98
ATL,M.Ryan,2008,2021,14,2022.0,M.Mariota,23.41,37.41
ATL,M.Mariota,2022,2022,1,2023.0,D.Ridder,28.96,29.96
ATL,D.Ridder,2023,2023,1,2024.0,K.Cousins,24.12,25.13
ATL,K.Cousins,2024,2024,1,,,36.16,
BAL,T.Banks,2000,2000,1,2001.0,E.Grbac,27.53,28.53
BAL,E.Grbac,2001,2001,1,2002.0,J.Blake,31.17,32.17
BAL,J.Blake,2002,2002,1,2003.0,K.Boller,31.86,32.86
BAL,K.Boller,2003,2004,2,2005.0,A.Wright,22.33,24.33
BAL,A.Wright,2005,2005,1,2006.0,S.McNair,29.67,30.67
BAL,S.McNair,2006,2006,1,2007.0,K.Boller,33.66,34.66
BAL,K.Boller,2007,2007,1,2008.0,J.Flacco,22.33,27.33
BAL,J.Flacco,2008,2018,11,2019.0,L.Jackson,23.75,34.74
BAL,L.Jackson,2019,2024,6,,,22.77,
BUF,R.Johnson,2000,2000,1,2001.0,A.Van Pelt,27.58,28.58
BUF,A.Van Pelt,2001,2001,1,2002.0,D.Bledsoe,31.46,32.46
BUF,D.Bledsoe,2002,2004,3,2005.0,J.Losman,30.67,33.67
BUF,J.Losman,2005,2006,2,2007.0,T.Edwards,24.59,26.59
BUF,T.Edwards,2007,2008,2,2009.0,R.Fitzpatrick,23.96,25.96
BUF,R.Fitzpatrick,2009,2012,4,2013.0,E.Manuel,26.89,30.89
BUF,E.Manuel,2013,2013,1,2014.0,K.Orton,23.58,24.57
BUF,K.Orton,2014,2014,1,2015.0,T.Taylor,31.92,32.92
BUF,T.Taylor,2015,2017,3,2018.0,J.Allen,26.2,29.2
BUF,J.Allen,2018,2024,7,,,22.4,
CAR,S.Beuerlein,2000,2000,1,2001.0,C.Weinke,35.61,36.61
CAR,C.Weinke,2001,2001,1,2002.0,R.Peete,29.21,30.21
CAR,R.Peete,2002,2002,1,2003.0,J.Delhomme,36.58,37.58
CAR,J.Delhomme,2003,2006,4,2007.0,D.Carr,28.76,32.76
CAR,D.Carr,2007,2007,1,2008.0,J.Delhomme,28.24,29.24
CAR,J.Delhomme,2008,2009,2,2010.0,J.Clausen,28.76,35.76
CAR,J.Clausen,2010,2010,1,2011.0,C.Newton,23.07,24.07
CAR,C.Newton,2011,2018,8,2019.0,K.Allen,22.43,30.43
CAR,K.Allen,2019,2019,1,2020.0,T.Bridgewater,23.6,24.61
CAR,T.Bridgewater,2020,2020,1,2021.0,S.Darnold,27.93,28.93
CAR,S.Darnold,2021,2021,1,2022.0,B.Mayfield,24.36,25.36
CAR,B.Mayfield,2022,2022,1,2023.0,B.Young,27.5,28.5
CAR,B.Young,2023,2024,2,,,22.22,
CHI,C.McNown,2000,2000,1,2001.0,J. Miller,23.76,24.76
CHI,J. Miller,2001,2002,2,2003.0,K.Stewart,30.68,32.68
CHI,K.Stewart,2003,2003,1,2004.0,C.Krenzel,31.0,32.0
CHI,C.Krenzel,2004,2004,1,2005.0,K.Orton,23.29,24.29
CHI,K.Orton,2005,2005,1,2006.0,R.Grossman,22.92,23.92
CHI,R.Grossman,2006,2007,2,2008.0,K.Orton,26.14,28.15
CHI,K.Orton,2008,2008,1,2009.0,J.Cutler,22.92,26.92
CHI,J.Cutler,2009,2015,7,2016.0,M.Barkley,26.46,33.46
CHI,M.Barkley,2016,2016,1,2017.0,M.Trubisky,26.1,27.1
CHI,M.Trubisky,2017,2020,4,2021.0,J.Fields,23.15,27.15
CHI,J.Fields,2021,2023,3,2024.0,C.Williams,22.61,25.62
CHI,C.Williams,2024,2024,1,,,22.91,
CIN,A.Smith,2000,2000,1,2001.0,J.Kitna,25.15,26.15
CIN,J.Kitna,2001,2003,3,2004.0,C.Palmer,29.07,32.07
CIN,C.Palmer,2004,2007,4,2008.0,R.Fitzpatrick,24.8,28.8
CIN,R.Fitzpatrick,2008,2008,1,2009.0,C.Palmer,25.89,26.89
CIN,C.Palmer,2009,2010,2,2011.0,A.Dalton,24.8,31.8
CIN,A.Dalton,2011,2019,9,2020.0,J.Burrow,23.96,32.96
CIN,J.Burrow,2020,2024,5,,,23.85,
CLE,T.Couch,2000,2002,3,2003.0,K. Holcomb,23.21,26.21
CLE,K. Holcomb,2003,2003,1,2004.0,J.Garcia,30.27,31.27
CLE,J.Garcia,2004,2004,1,2005.0,T.Dilfer,34.64,35.64
CLE,T.Dilfer,2005,2005,1,2006.0,C.Frye,33.59,34.59
CLE,C.Frye,2006,2006,1,2007.0,D.Anderson,25.13,26.13
CLE,D.Anderson,2007,2008,2,2009.0,B.Quinn,24.33,26.34
CLE,B.Quinn,2009,2009,1,2010.0,C.McCoy,24.97,25.97
CLE,C.McCoy,2010,2011,2,2012.0,B.Weeden,24.11,26.11
CLE,B.Weeden,2012,2013,2,2014.0,B.Hoyer,29.0,31.0
CLE,B.Hoyer,2014,2014,1,2015.0,J.Manziel,29.0,30.0
CLE,J.Manziel,2015,2015,1,2016.0,R.Griffin,22.86,23.86
CLE,R.Griffin,2016,2016,1,2017.0,D.Kizer,26.67,27.67
CLE,D.Kizer,2017,2017,1,2018.0,B.Mayfield,21.78,22.78
CLE,B.Mayfield,2018,2021,4,2022.0,J.Brissett,23.5,27.5
CLE,J.Brissett,2022,2022,1,2023.0,D.Watson,29.84,30.84
CLE,D.Watson,2023,2023,1,2024.0,J.Winston,28.08,29.09
CLE,J.Winston,2024,2024,1,,,30.77,
DAL,T.Aikman,2000,2000,1,2001.0,Q.Carter,33.9,34.9
DAL,Q.Carter,2001,2001,1,2002.0,C.Hutchinson,24.01,25.0
DAL,C.Hutchinson,2002,2002,1,2003.0,Q.Carter,25.65,26.64
DAL,Q.Carter,2003,2003,1,2004.0,V.Testaverde,24.01,27.01
DAL,V.Testaverde,2004,2004,1,2005.0,D.Bledsoe,40.92,41.92
DAL,D.Bledsoe,2005,2005,1,2006.0,T.Romo,33.67,34.67
DAL,T.Romo,2006,2009,4,2010.0,J.Kitna,26.48,30.48
DAL,J.Kitna,2010,2010,1,2011.0,T.Romo,38.06,39.06
DAL,T.Romo,2011,2014,4,2015.0,M.Cassel,26.48,35.48
DAL,M.Cassel,2015,2015,1,2016.0,D.Prescott,33.41,34.41
DAL,D.Prescott,2016,2019,4,2020.0,A.Dalton,23.21,27.21
DAL,A.Dalton,2020,2020,1,2021.0,D.Prescott,32.96,33.96
DAL,D.Prescott,2021,2024,4,,,23.21,
DEN,B.Griese,2000,2002,3,2003.0,J.Plummer,25.58,28.58
DEN,J.Plummer,2003,2006,4,2007.0,J.Cutler,28.82,32.82
DEN,J.Cutler,2007,2008,2,2009.0,K.Orton,24.46,26.46
DEN,K.Orton,2009,2010,2,2011.0,T.Tebow,26.92,28.92
DEN,T.Tebow,2011,2011,1,2012.0,P.Manning,24.17,25.17
DEN,P.Manning,2012,2015,4,2016.0,T.Siemian,36.56,40.56
DEN,T.Siemian,2016,2017,2,2018.0,C.Keenum,24.8,26.8
DEN,C.Keenum,2018,2018,1,2019.0,J.Flacco,30.66,31.66
DEN,J.Flacco,2019,2019,1,2020.0,D.Lock,34.74,35.75
DEN,D.Lock,2020,2020,1,2021.0,T.Bridgewater,23.93,24.93
DEN,T.Bridgewater,2021,2021,1,2022.0,R.Wilson,28.93,29.93
DEN,R.Wilson,2022,2023,2,2024.0,B.Nix,33.88,35.88
DEN,B.Nix,2024,2024,1,,,24.64,
DET,C.Batch,2000,2001,2,2002.0,J.Harrington,25.86,27.86
DET,J.Harrington,2002,2005,4,2006.0,J.Kitna,23.98,27.98
DET,J.Kitna,2006,2007,2,2008.0,D.Orlovsky,34.06,36.07
DET,D.Orlovsky,2008,2008,1,2009.0,M.Stafford,25.16,26.16
DET,M.Stafford,2009,2009,1,2010.0,Sh.Hill,21.69,22.69
DET,Sh.Hill,2010,2010,1,2011.0,M.Stafford,30.77,31.76
DET,M.Stafford,2011,2020,10,2021.0,J.Goff,21.69,33.69
DET,J.Goff,2021,2024,4,,,27.0,
GB,B.Favre,2000,2007,8,2008.0,A.Rodgers,31.01,39.01
GB,A.Rodgers,2008,2016,9,2017.0,B.Hundley,24.87,33.87
GB,B.Hundley,2017,2017,1,2018.0,A.Rodgers,24.33,25.33
GB,A.Rodgers,2018,2022,5,2023.0,J.Love,24.87,39.87
GB,J.Love,2023,2024,2,,,24.95,
HOU,D.Carr,2002,2006,5,2007.0,M.Schaub,23.24,28.24
HOU,M.Schaub,2007,2013,7,2014.0,R.Fitzpatrick,26.31,33.31
HOU,R.Fitzpatrick,2014,2014,1,2015.0,B.Hoyer,31.89,32.89
HOU,B.Hoyer,2015,2015,1,2016.0,B.Osweiler,30.0,31.01
HOU,B.Osweiler,2016,2016,1,2017.0,D.Watson,25.9,26.9
HOU,D.Watson,2017,2020,4,2021.0,D.Mills,22.09,26.09
HOU,D.Mills,2021,2022,2,2023.0,C.Stroud,22.98,24.98
HOU,C.Stroud,2023,2024,2,,,22.03,
IND,P.Manning,2000,2010,11,2011.0,C.Painter,24.56,35.56
IND,C.Painter,2011,2011,1,2012.0,A.Luck,26.31,27.31
IND,A.Luck,2012,2014,3,2015.0,M.Hasselbeck,23.09,26.09
IND,M.Hasselbeck,2015,2015,1,2016.0,A.Luck,40.05,41.06
IND,A.Luck,2016,2016,1,2017.0,J.Brissett,23.09,28.09
IND,J.Brissett,2017,2017,1,2018.0,A.Luck,24.84,25.84
IND,A.Luck,2018,2018,1,2019.0,J.Brissett,23.09,30.09
IND,J.Brissett,2019,2019,1,2020.0,P.Rivers,24.84,27.84
IND,P.Rivers,2020,2020,1,2021.0,C.Wentz,38.85,39.85
IND,C.Wentz,2021,2021,1,2022.0,M.Ryan,28.79,29.79
IND,M.Ryan,2022,2022,1,2023.0,G.Minshew,37.41,38.41
IND,G.Minshew,2023,2023,1,2024.0,A.Richardson,27.41,28.42
IND,A.Richardson,2024,2024,1,,,22.4,
JAX,M.Brunell,2000,2002,3,2003.0,B.Leftwich,30.08,33.08
JAX,B.Leftwich,2003,2005,3,2006.0,D.Garrard,23.75,26.75
JAX,D.Garrard,2006,2010,5,2011.0,B.Gabbert,28.67,33.66
JAX,B.Gabbert,2011,2012,2,2013.0,C.Henne,22.0,24.0
JAX,C.Henne,2013,2013,1,2014.0,B.Bortles,28.29,29.29
JAX,B.Bortles,2014,2018,5,2019.0,G.Minshew II,22.46,27.46
JAX,G.Minshew II,2019,2020,2,2021.0,T.Lawrence,23.41,25.42
JAX,T.Lawrence,2021,2024,4,,,22.03,
KC,E.Grbac,2000,2000,1,2001.0,T. Green,30.17,31.17
KC,T. Green,2001,2005,5,2006.0,D.Huard,31.27,36.27
KC,D.Huard,2006,2007,2,2008.0,T.Thigpen,33.27,35.27
KC,T.Thigpen,2008,2008,1,2009.0,M.Cassel,24.5,25.5
KC,M.Cassel,2009,2012,4,2013.0,A.Smith,27.41,31.41
KC,A.Smith,2013,2017,5,2018.0,P.Mahomes,29.44,34.44
KC,P.Mahomes,2018,2024,7,,,23.08,
LAC,R.Leaf,2000,2000,1,2001.0,D.Flutie,24.42,25.42
LAC,D.Flutie,2001,2001,1,2002.0,D.Brees,38.98,39.98
LAC,D.Brees,2002,2005,4,2006.0,P.Rivers,23.75,27.75
LAC,P.Rivers,2006,2019,14,2020.0,J.Herbert,24.85,38.85
LAC,J.Herbert,2020,2024,5,,,22.6,
LAR,K.Warner,2000,2001,2,2002.0,M. Bulger,29.32,31.32
LAR,M. Bulger,2002,2009,8,2010.0,S.Bradford,25.53,33.53
LAR,S.Bradford,2010,2012,3,2013.0,K.Clemens,22.93,25.94
LAR,K.Clemens,2013,2013,1,2014.0,A.Davis,30.36,31.36
LAR,A.Davis,2014,2014,1,2015.0,N.Foles,25.37,26.37
LAR,N.Foles,2015,2015,1,2016.0,C.Keenum,26.73,27.73
LAR,C.Keenum,2016,2016,1,2017.0,J.Goff,28.66,29.66
LAR,J.Goff,2017,2020,4,2021.0,M.Stafford,23.0,27.0
LAR,M.Stafford,2021,2024,4,,,33.69,
