season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2000,CLE,D.Pederson,00-0012726,8,8,16,1968-01-31,,
2000,LAR,K.Warner,00-0017200,11,1,17,1971-06-22,,
2000,MIA,J.Fiedler,00-0005180,14,1,17,1971-12-29,,
2000,SEA,J.Kitna,00-0009311,12,1,17,1972-09-21,,
2000,SF,J.Garcia,00-0005755,16,1,17,1970-02-24,,
2001,CHI,J. Miller,00-0011276,13,4,17,1971-02-09,,
2001,CIN,J.Kitna,00-0009311,15,1,17,1972-09-21,,
2001,LAR,K.Warner,00-0017200,16,1,17,1971-06-22,,
2001,MIA,J.Fiedler,00-0005180,16,1,17,1971-12-29,,
2001,SF,J.Garcia,00-0005755,16,1,17,1970-02-24,,
2002,CHI,J.Miller,00-0011276,8,1,14,1971-02-09,,
2002,CIN,J.Kitna,00-0009311,12,5,17,1972-09-21,,
2002,DAL,C.Hutchinson,00-0020562,9,8,17,1977-02-21,,
2002,MIA,J. Fiedler,00-0005180,7,4,17,1971-12-29,,
2002,SF,J.Garcia,00-0005755,16,1,17,1970-02-24,,
2002,WAS,S.Matthews,00-0010560,7,1,11,1970-06-01,,
2003,ATL,D.Johnson,00-0019087,8,1,13,1977-10-27,,
2003,CAR,J.Delhomme,00-0004161,15,2,17,1975-01-10,,
2003,CIN,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2003,MIA,J.Fiedler,00-0005180,11,1,17,1971-12-29,,
2003,SF,J.Garcia,00-0005755,13,1,17,1970-02-24,,
2004,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2004,CLE,J.Garcia,00-0005755,10,1,11,1970-02-24,,
2004,NYG,K.Warner,00-0017200,9,1,10,1971-06-22,,
2005,ARI,K.Warner,00-0017200,10,1,15,1971-06-22,,
2005,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2005,SF,A.Smith,00-0023436,7,5,17,1984-05-07,,
2006,CAR,J.Delhomme,00-0004161,13,1,17,1975-01-10,,
2006,DAL,T.Romo,00-0021678,10,8,17,1980-04-21,,
2006,DET,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2006,SF,A.Smith,00-0023436,16,1,17,1984-05-07,,
2007,ARI,K.Warner,00-0017200,11,6,17,1971-06-22,,
2007,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2007,DET,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2007,KC,D.Huard,00-0007835,10,1,13,1973-07-09,,
2007,MIA,C.Lemon,00-0020565,7,6,17,1979-08-16,,
2007,SF,A.Smith,00-0023436,7,1,10,1984-05-07,,
2007,TB,J.Garcia,00-0005755,13,1,16,1970-02-24,,
2008,ARI,K.Warner,00-0017200,16,1,17,1971-06-22,,
2008,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2008,DAL,T.Romo,00-0021678,13,1,17,1980-04-21,,
2008,TB,J.Garcia,00-0005755,11,1,17,1970-02-24,,
2009,ARI,K.Warner,00-0017200,15,1,17,1971-06-22,,
2009,CAR,J.Delhomme,00-0004161,11,1,12,1975-01-10,,
2009,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2009,SF,A.Smith,00-0023436,10,8,17,1984-05-07,,
2010,DAL,J.Kitna,00-0009311,9,8,16,1972-09-21,,
2010,DET,Sh.Hill,00-0020679,10,2,17,1980-01-09,,
2010,SF,A.Smith,00-0023436,10,1,17,1984-05-07,,
2011,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2011,MIA,M.Moore,00-0025708,12,6,17,1984-08-09,,
2011,SF,Alex Smith,00-0023436,13,4,17,1984-05-07,,
2012,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2012,SF,A.Smith,00-0023436,9,1,10,1984-05-07,,
2012,WAS,R.Griffin,00-0029665,15,1,17,1990-02-12,,
2013,DAL,T.Romo,00-0021678,15,1,16,1980-04-21,,
2013,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2013,WAS,R.Griffin,00-0029665,13,1,14,1990-02-12,,
2014,CLE,B.Hoyer,00-0026625,13,1,14,1985-10-13,,
2014,DAL,T.Romo,00-0021678,15,1,17,1980-04-21,,
2014,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2014,LAR,S.Hill,00-0020679,8,1,17,1980-01-09,,
2014,WAS,R.Griffin,00-0029665,7,1,17,1990-02-12,,
2015,HOU,B.Hoyer,00-0026625,9,1,17,1985-10-13,,
2015,KC,A.Smith,00-0023436,16,1,17,1984-05-07,,
2016,KC,A.Smith,00-0023436,15,1,17,1984-05-07,,
2016,LAR,C.Keenum,00-0028986,9,1,10,1988-02-17,,
2017,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2017,MIN,C.Keenum,00-0028986,14,2,17,1988-02-17,,
2017,SF,B.Hoyer,00-0026625,6,1,6,1985-10-13,,
2018,DEN,C.Keenum,00-0028986,16,1,17,1988-02-17,,
2018,SF,N.Mullens,00-0033319,8,9,17,1995-03-21,,
2018,WAS,A.Smith,00-0023436,10,1,11,1984-05-07,,
2019,CAR,K.Allen,00-0034577,12,3,15,1996-03-08,,
2019,WAS,C.Keenum,00-0028986,8,1,17,1988-02-17,,
2020,SF,N.Mullens,00-0033319,8,3,15,1995-03-21,,
2021,WAS,T.Heinicke,00-0031800,15,2,18,1993-03-15,,
2022,WAS,T.Heinicke,00-0031800,9,7,16,1993-03-15,,
