season,team,player_name,player_id,drafted_by_team
2000,PHI,Donovan McNabb,00-0011022,True
2000,MIN,Daunte Culpepper,00-0003739,True
2001,PHI,Donovan McNabb,00-0011022,True
2001,NE,Tom Brady,00-0019596,True
2001,PIT,Kordell Stewart,00-0015700,True
2002,NYJ,Chad Pennington,00-0019559,True
2002,PHI,Donovan McNabb,00-0011022,True
2003,IND,Peyton Manning,00-0010346,True
2003,NE,Tom Brady,00-0019596,True
2003,PHI,Donovan McNabb,00-0011022,True
2004,LAC,Drew Brees,00-0020531,True
2004,IND,Peyton Manning,00-0010346,True
2004,PIT,Ben Roethlisberger,00-0022924,True
2004,ATL,Michael Vick,00-0020245,True
2004,PHI,Donovan McNabb,00-0011022,True
2004,NE,Tom Brady,00-0019596,True
2005,TB,Chris Simms,00-0022005,True
2005,NE,Tom Brady,00-0019596,True
2005,IND,Peyton Manning,00-0010346,True
2005,PIT,Ben Roethlisberger,00-0022924,True
2006,IND,Peyton Manning,00-0010346,True
2006,NE,Tom Brady,00-0019596,True
2006,CHI,Rex Grossman,00-0022121,True
2007,PIT,Ben Roethlisberger,00-0022924,True
2007,NE,Tom Brady,00-0019596,True
2007,IND,Peyton Manning,00-0010346,True
2008,PIT,Ben Roethlisberger,00-0022924,True
2009,CIN,Carson Palmer,00-0021429,True
2009,NE,Tom Brady,00-0019596,True
2009,IND,Peyton Manning,00-0010346,True
2010,IND,Peyton Manning,00-0010346,True
2010,PIT,Ben Roethlisberger,00-0022924,True
2010,ATL,Matt Ryan,00-0026143,True
2010,NE,Tom Brady,00-0019596,True
2010,GB,Aaron Rodgers,00-0023459,True
2011,DEN,Tim Tebow,00-0027876,True
2011,NE,Tom Brady,00-0019596,True
2011,BAL,Joe Flacco,00-0026158,True
2011,GB,Aaron Rodgers,00-0023459,True
2012,GB,Aaron Rodgers,00-0023459,True
2012,BAL,Joe Flacco,00-0026158,True
2012,ATL,Matt Ryan,00-0026143,True
2012,NE,Tom Brady,00-0019596,True
2013,IND,Andrew Luck,00-0029668,True
2013,PHI,Nick Foles,00-0029567,True
2013,CIN,Andy Dalton,00-0027973,True
2013,GB,Aaron Rodgers,00-0023459,True
2013,SEA,Russell Wilson,00-0029263,True
2013,NE,Tom Brady,00-0019596,True
2013,CAR,Cam Newton,00-0027939,True
2014,CAR,Cam Newton,00-0027939,True
2014,PIT,Ben Roethlisberger,00-0022924,True
2014,IND,Andrew Luck,00-0029668,True
2014,NE,Tom Brady,00-0019596,True
2014,SEA,Russell Wilson,00-0029263,True
2014,GB,Aaron Rodgers,00-0023459,True
2015,MIN,Teddy Bridgewater,00-0031237,True
2015,WAS,Kirk Cousins,00-0029604,True
2015,NE,Tom Brady,00-0019596,True
2015,CAR,Cam Newton,00-0027939,True
2016,SEA,Russell Wilson,00-0029263,True
2016,PIT,Ben Roethlisberger,00-0022924,True
2016,GB,Aaron Rodgers,00-0023459,True
2016,ATL,Matt Ryan,00-0026143,True
2016,NE,Tom Brady,00-0019596,True
2016,DAL,Dak Prescott,00-0033077,True
2017,LAR,Jared Goff,00-0033106,True
2017,JAX,Blake Bortles,00-0031407,True
2017,NE,Tom Brady,00-0019596,True
2017,PIT,Ben Roethlisberger,00-0022924,True
2018,HOU,Deshaun Watson,00-0033537,True
2018,DAL,Dak Prescott,00-0033077,True
2018,CHI,Mitch Trubisky,00-0033869,True
2018,KC,Patrick Mahomes,00-0033873,True
2018,LAR,Jared Goff,00-0033106,True
2018,NE,Tom Brady,00-0019596,True
2019,HOU,Deshaun Watson,00-0033537,True
2019,NE,Tom Brady,00-0019596,True
2019,PHI,Carson Wentz,00-0032950,True
2019,BAL,Lamar Jackson,00-0034796,True
2019,KC,Patrick Mahomes,00-0033873,True
2019,GB,Aaron Rodgers,00-0023459,True
2020,BUF,Josh Allen,00-0034857,True
2020,SEA,Russell Wilson,00-0029263,True
2020,PIT,Ben Roethlisberger,00-0022924,True
2020,GB,Aaron Rodgers,00-0023459,True
2020,KC,Patrick Mahomes,00-0033873,True
2021,CIN,Joe Burrow,00-0036442,True
2021,BUF,Josh Allen,00-0034857,True
2021,DAL,Dak Prescott,00-0033077,True
2021,KC,Patrick Mahomes,00-0033873,True
2021,GB,Aaron Rodgers,00-0023459,True
2022,JAX,Trevor Lawrence,00-0036971,True
2022,BUF,Josh Allen,00-0034857,True
2022,CIN,Joe Burrow,00-0036442,True
2022,KC,Patrick Mahomes,00-0033873,True
2022,PHI,Jalen Hurts,00-0036389,True
2023,HOU,C.J. Stroud,00-0039163,True
2023,KC,Patrick Mahomes,00-0033873,True
2023,DAL,Dak Prescott,00-0033077,True
2023,BUF,Josh Allen,00-0034857,True
2023,BAL,Lamar Jackson,00-0034796,True
2023,SF,Brock Purdy,00-0037834,True
2024,HOU,C.J. Stroud,00-0039163,True
2024,BAL,Lamar Jackson,00-0034796,True
2024,BUF,Josh Allen,00-0034857,True
2024,PHI,Jalen Hurts,00-0036389,True
2024,KC,Patrick Mahomes,00-0033873,True
2000,IND,Peyton Manning,00-0010346,True
2000,TB,Shaun King,00-0009266,True
2002,IND,Peyton Manning,00-0010346,True
2002,ATL,Michael Vick,00-0020245,True
2003,DAL,Quincy Carter,00-0020404,True
2004,NYJ,Chad Pennington,00-0019559,True
2004,MIN,Daunte Culpepper,00-0003739,True
2005,JAX,Byron Leftwich,00-0022177,True
2006,NYJ,Chad Pennington,00-0019559,True
2007,JAX,David Garrard,00-0021231,True
2007,TEN,Vince Young,00-0024218,True
2008,ATL,Matt Ryan,00-0026143,True
2008,IND,Peyton Manning,00-0010346,True
2008,BAL,Joe Flacco,00-0026158,True
2008,PHI,Donovan McNabb,00-0011022,True
2009,NYJ,Mark Sanchez,00-0026898,True
2009,PHI,Donovan McNabb,00-0011022,True
2009,BAL,Joe Flacco,00-0026158,True
2009,GB,Aaron Rodgers,00-0023459,True
2010,NYJ,Mark Sanchez,00-0026898,True
2010,BAL,Joe Flacco,00-0026158,True
2011,CIN,Andy Dalton,00-0027973,True
2011,DET,Matthew Stafford,00-0026498,True
2011,ATL,Matt Ryan,00-0026143,True
2011,PIT,Ben Roethlisberger,00-0022924,True
2012,CIN,Andy Dalton,00-0027973,True
2012,IND,Andrew Luck,00-0029668,True
2012,SEA,Russell Wilson,00-0029263,True
2013,SF,Colin Kaepernick,00-0027974,True
2014,BAL,Joe Flacco,00-0026158,True
2014,CIN,Andy Dalton,00-0027973,True
2014,DET,Matthew Stafford,00-0026498,True
2015,PIT,Ben Roethlisberger,00-0022924,True
2015,SEA,Russell Wilson,00-0029263,True
2015,GB,Aaron Rodgers,00-0023459,True
2016,DET,Matthew Stafford,00-0026498,True
2017,TEN,Marcus Mariota,00-0032268,True
2017,ATL,Matt Ryan,00-0026143,True
2017,CAR,Cam Newton,00-0027939,True
2018,IND,Andrew Luck,00-0029668,True
2018,SEA,Russell Wilson,00-0029263,True
2019,BUF,Josh Allen,00-0034857,True
2019,SEA,Russell Wilson,00-0029263,True
2020,BAL,Lamar Jackson,00-0034796,True
2020,CHI,Mitch Trubisky,00-0033869,True
2020,CLE,Baker Mayfield,00-0034855,True
2020,LAR,Jared Goff,00-0033106,True
2021,LV,Derek Carr,00-0031280,True
2021,NE,Mac Jones,00-0036972,True
2021,PHI,Jalen Hurts,00-0036389,True
2021,PIT,Ben Roethlisberger,00-0022924,True
2021,ARI,Kyler Murray,00-0035228,True
2022,LAC,Justin Herbert,00-0036355,True
2022,NYG,Daniel Jones,00-0035710,True
2022,DAL,Dak Prescott,00-0033077,True
2023,MIA,Tua Tagovailoa,00-0036212,True
2023,GB,Jordan Love,00-0036264,True
2023,PHI,Jalen Hurts,00-0036389,True
2024,LAC,Justin Herbert,00-0036355,True
2024,DEN,Bo Nix,00-0039732,True
2024,GB,Jordan Love,00-0036264,True
2024,WAS,Jayden Daniels,00-0039910,True
