season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2000,ARI,J.Plummer,00-0013042,14,1,17,1974-12-19,1997.0,ARI
2000,ATL,C.Chandler,00-0002876,13,1,17,1965-10-12,1988.0,IND
2000,BAL,T.Banks,00-0000722,8,1,8,1973-04-05,1996.0,LA
2000,BUF,R.Johnson,00-0008612,10,1,16,1973-03-18,1995.0,JAX
2000,CAR,S.Beuerlein,00-0001218,16,1,17,1965-03-07,1987.0,LV
2000,CHI,C.McNown,00-0011044,9,1,16,1977-01-12,1999.0,CHI
2000,CIN,A.Smith,00-0015082,11,2,13,1975-08-21,1999.0,CIN
2000,CLE,D.Pederson,00-0012726,8,8,16,1968-01-31,,
2000,DAL,T.Aikman,00-0000104,11,1,15,1966-11-21,1989.0,DAL
2000,DEN,B.Griese,00-0006423,10,1,17,1975-03-18,1998.0,DEN
2000,DET,C.Batch,00-0000865,15,2,17,1974-12-05,1998.0,DET
2000,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2000,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2000,JAX,M.Brunell,00-0002110,16,1,17,1970-09-17,1993.0,GB
2000,KC,E.Grbac,00-0006300,14,1,17,1970-08-13,1993.0,SF
2000,LAC,R.Leaf,00-0009715,9,1,17,1976-05-15,1998.0,LAC
2000,LAR,K.Warner,00-0017200,11,1,17,1971-06-22,,
2000,LV,R.Gannon,00-0005741,16,1,17,1965-12-20,1987.0,NE
2000,MIA,J.Fiedler,00-0005180,14,1,17,1971-12-29,,
2000,MIN,D.Culpepper,00-0003739,16,1,17,1977-01-28,1999.0,MIN
2000,NE,D.Bledsoe,00-0001361,16,1,17,1972-02-14,1993.0,NE
2000,NO,J.Blake,00-0001335,11,1,12,1970-12-04,1992.0,NYJ
2000,NYG,K.Collins,00-0003292,16,1,17,1972-12-30,1995.0,CAR
2000,NYJ,V.Testaverde,00-0016193,16,1,17,1963-11-13,1987.0,TB
