season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2014,ARI,D.Stanton,00-0025430,8,2,15,1984-05-07,2007.0,DET
2014,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2014,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2014,BUF,K.Orton,00-0023541,12,5,17,1982-11-14,2005.0,CHI
2014,CAR,C.Newton,00-0027939,14,2,17,1989-05-11,2011.0,CAR
2014,CHI,J.Cutler,00-0024226,15,1,17,1983-04-29,2006.0,DEN
2014,CIN,A.Dalton,00-0027973,16,1,17,1987-10-29,2011.0,CIN
2014,CLE,B.Hoyer,00-0026625,13,1,14,1985-10-13,,
2014,DAL,T.Romo,00-0021678,15,1,17,1980-04-21,,
2014,DEN,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2014,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2014,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2014,HOU,R.Fitzpatrick,00-0023682,12,1,15,1982-11-24,2005.0,LA
2014,IND,A.Luck,00-0029668,15,1,17,1989-09-12,2012.0,IND
2014,JAX,B.Bortles,00-0031407,13,4,17,1992-04-28,2014.0,JAX
2014,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2014,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2014,LAR,S.Hill,00-0020679,8,1,17,1980-01-09,,
2014,LV,D.Carr,00-0031280,16,1,17,1991-03-28,2014.0,LV
2014,MIA,R.Tannehill,00-0029701,16,1,17,1988-07-27,2012.0,MIA
2014,MIN,T.Bridgewater,00-0031237,12,4,17,1992-11-10,2014.0,MIN
2014,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2014,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2014,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2014,NYJ,G.Smith,00-0030565,13,1,17,1990-10-10,2013.0,NYJ
2014,PHI,N.Foles,00-0029567,8,1,9,1989-01-20,2012.0,PHI
2014,PIT,B.Roethlisberger,00-0022924,16,1,17,1982-03-02,2004.0,PIT
2014,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2014,SF,C.Kaepernick,00-0027974,16,1,17,1987-11-03,2011.0,SF
2014,TB,J.McCown,00-0021206,11,1,17,1979-07-04,2002.0,ARI
2014,TEN,Z.Mettenberger,00-0031266,6,8,14,1991-07-16,2014.0,TEN
2014,WAS,R.Griffin,00-0029665,7,1,17,1990-02-12,,
