season,team,player_name,player_id,drafted_by_team
2001,NE,Tom Brady,00-0019596,True
2003,NE,Tom Brady,00-0019596,True
2004,PHI,Donovan McNabb,00-0011022,True
2005,PIT,Ben Roethlisberger,00-0022924,True
2006,CHI,Rex Grossman,00-0022121,True
2007,NE,Tom Brady,00-0019596,True
2009,IND,Peyton Manning,00-0010346,True
2010,GB,Aaron Rodgers,00-0023459,True
2011,NE,Tom Brady,00-0019596,True
2014,SEA,Russell Wilson,00-0029263,True
2016,ATL,Matt Ryan,00-0026143,True
2017,NE,Tom Brady,00-0019596,True
2018,LAR,Jared Goff,00-0033106,True
2019,KC,Patrick Mahomes,00-0033873,True
2021,CIN,Joe Burrow,00-0036442,True
2022,PHI,Jalen Hurts,00-0036389,True
2023,KC,Patrick Mahomes,00-0033873,True
2024,PHI,Jalen Hurts,00-0036389,True
2004,NE,Tom Brady,00-0019596,True
2006,IND,Peyton Manning,00-0010346,True
2008,PIT,Ben Roethlisberger,00-0022924,True
2010,PIT,Ben Roethlisberger,00-0022924,True
2012,BAL,Joe Flacco,00-0026158,True
2013,SEA,Russell Wilson,00-0029263,True
2014,NE,Tom Brady,00-0019596,True
2015,CAR,Cam Newton,00-0027939,True
2016,NE,Tom Brady,00-0019596,True
2018,NE,Tom Brady,00-0019596,True
2020,KC,Patrick Mahomes,00-0033873,True
2022,KC,Patrick Mahomes,00-0033873,True
2023,SF,Brock Purdy,00-0037834,True
2024,KC,Patrick Mahomes,00-0033873,True
